DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-05,117.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-06,117.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-07,117.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-08,117.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-09,117.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-10,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-11,116.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2024-12,116.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2025-01,116.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2025-02,116.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,AT,2025-03,117.0,p,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-05,122.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-06,123.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-07,122.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-08,123.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-09,123.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-10,122.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-11,122.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2024-12,122.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2025-01,124.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2025-02,124.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BE,2025-03,124.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-05,125.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-06,125.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-07,125.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-08,123.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-09,123.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-10,124.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-11,125.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2024-12,125.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2025-01,134.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2025-02,138.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,BG,2025-03,138.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-05,109.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-06,109.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-07,109.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-08,109.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-09,109.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-10,110.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-11,110.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2024-12,110.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2025-01,110.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2025-02,110.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2025-03,110.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CH,2025-04,110.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-05,121.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-06,121.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-07,121.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-08,121.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-09,122.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-10,122.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-11,122.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2024-12,122.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2025-01,122.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2025-02,123.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CY,2025-03,123.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-05,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-06,118.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-07,119.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-08,118.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-09,118.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-10,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-11,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-12,118.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-01,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-02,119.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-03,119.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-04,119.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-05,118.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-06,118.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-07,118.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-08,118.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-09,118.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-10,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-11,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-12,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-01,118.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-02,118.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-03,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-04,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-05,116.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-06,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-07,116.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-08,116.9,,
