Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2,Africa,Deforestation,1356.088018403,1356.8881010506,1363.3222989406,1356.0972407167,1354.5205502301,1362.4757288832,1362.3129926431,1363.1180944089,1360.6105699668,1365.00479845,1365.6246270814,1372.7010584254,1383.9862750251,1397.0749961016,1419.5907753453,1440.541394535,1424.6654168974,1436.1511334051,1457.0792444902,1467.7024023202,1502.2713738802,1983.9734461834,1998.7632465749,1996.6005800283,2004.0813176251,1607.3697601304,1624.9692337808,1624.2141556197,1631.4658362218,1636.4209377746,1636.7639280548,1635.7363753208,1635.7363753208,1635.7363753208
CO2,Africa,Fires,125.89947402044,108.36267788012,122.6730404525,193.62309412874,124.39852623769,124.39852623769,138.62793970928,47.570906903019,125.65529369347,158.83925613667,273.56389316974,173.07228690602,163.18492337182,117.87454214746,118.72792229255,132.41192950357,139.84670583366,131.50078642392,176.07033870388,122.35535048182,206.30210375777,316.08930255443,225.65726491377,134.6632174206,88.52303065103,98.35304707204,105.0960119303,141.46731727907,88.38697279669,77.70492046091,147.93751018758,244.12248555882,178.42601158937,212.58789067785
GWP_100_AR5_CH4,Africa,Fires,374.24733301241,333.59415287201,329.21642474764,399.1803764508,342.05589828551,342.05589828551,368.67390253873,187.1692332309,363.89911189233,314.1613853329,425.70396601761,363.77191565536,297.78752787058,295.89884227287,292.62064980276,326.76494793742,285.00631880287,290.65222364595,308.57396812892,320.92751296916,300.85027841201,331.44140537704,312.06431798894,289.12040860379,229.06162246203,271.41074935556,293.52839894991,276.09750773396,324.98148152731,284.10229228237,250.24527963318,231.34179406794,249.53588071569,209.7915331116
GWP_100_AR5_N2O,Africa,Fires,117.80662216531,111.63752471303,117.52787019978,123.42330306009,110.95267315423,110.95267315423,126.43362639725,63.856813989458,120.65380585047,113.18348827392,137.71255255432,119.45690373898,87.917329098002,103.01730318321,93.402569745754,111.21409721465,98.210203494593,101.68595838916,104.45474150715,91.44088389389,101.46436022793,104.51849486585,97.823499498841,93.753969009384,85.411081887791,90.11444774524,99.334942206641,87.478348231382,85.160903263769,76.634617821135,88.192805926694,89.767992624009,89.856337034307,75.573985592743
CO2,Africa,Forest Land,-2511.1168280714,-2271.7925386446,-2175.0600978306,-2071.792272655,-1962.6071114428,-1860.5159547606,-1811.6045879458,-1763.1471348096,-1727.6369586723,-1681.4609762427,-1605.0431237314,-1548.9622658588,-1510.1627674951,-1448.5686471525,-1422.3357775565,-1342.5963279297,-1274.3469910319,-1234.991334211,-1267.7841138207,-1239.5208809204,-1187.5678230165,-1133.8238298598,-1096.6424048499,-1049.361648905,-998.85786508691,-941.17731283971,-935.57379790155,-894.48437847612,-854.22936543049,-833.96764500188,-791.4109562602,-719.96903023039,-696.49579353725,-650.86826994231
CO2,Africa,Organic Soil,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326,0.29612293326
CO2,Africa,Other Land,59.591035283738,58.678103068887,57.984973020324,69.017804918841,49.644169915365,49.071703699125,50.004938713138,42.897169282311,47.791158596954,23.53025157895,37.806354366655,25.917004419304,35.007618263299,19.232750190651,0.93380926358014,8.3127018430765,18.581859328399,60.748938879445,112.51340974904,103.71021760603,86.793376359766,114.52403485491,122.5332905854,118.21148941636,105.35517867668,126.09661664784,110.39220616884,108.70639609393,111.42253447956,120.1959933192,109.36520295185,119.67952743768,119.67952743768,119.67952743768
CO2,Asia-Pacific Developed,Deforestation,177.08907186008,163.55334134746,120.58172362895,105.27110847952,92.647893726941,82.308427386924,77.43534344219,76.954203433932,75.327450345454,85.580231524357,84.627266643995,98.806352418322,93.610935872617,87.797477875893,88.761566500471,108.76413969722,109.7305012964,115.54860739186,80.815288437849,70.158847741773,75.003275960385,61.080929038718,56.478727555993,62.669863401215,63.496011270596,52.816537880135,52.679373963486,50.699538337499,53.893549185198,39.23191490035,43.092932370073,42.745176074507,42.745176074507,42.745176074507
CO2,Asia-Pacific Developed,Fires,312.08240506355,354.05619723096,419.2249029859,756.19126203134,386.5183377283,386.5183377283,241.85721532066,143.90849579813,381.22440643244,466.6358264011,699.80525373491,790.19979751507,1122.3675134955,285.33550777156,579.25369611312,139.55586333022,678.67798763355,588.12108348886,229.9344224486,268.69651219994,129.15091415679,1257.9601520009,1161.2098660583,256.6202303201,470.60667130014,457.23626130357,170.71056008198,671.31247422342,571.45875980384,510.04516943048,219.0879467737,195.68646488749,250.17001985257,1082.15613895
GWP_100_AR5_CH4,Asia-Pacific Developed,Fires,27.12631517636,30.222795062392,35.120678707897,43.596009071988,28.561818157375,28.561818157375,25.309289175089,12.344580770699,29.932083740963,30.76125215828,40.117722594941,49.477787973022,59.017264072922,25.053820036937,37.317249298374,14.31683923406,41.462802548463,34.77470458453,17.515652040408,24.572378858581,9.9519874567593,63.172797661889,62.52644424158,19.30309812924,30.458902605928,27.482333153757,14.697437021327,34.719454892137,34.655008721052,41.729708176853,19.871845496939,14.671117311876,16.440625440822,53.291610027043
