customer_id,gender,age,payment_method
c196845,male,24.0,cash
c220180,male,23.0,credit card
c276887,male,68.0,credit card
c317818,female,19.0,credit card
c317478,female,41.0,cash
c237330,female,53.0,credit card
c258404,male,67.0,cash
c542025,male,60.0,credit card
c992677,male,65.0,debit card
c324683,male,55.0,credit card
c112750,female,32.0,credit card
c223343,female,31.0,credit card
c978718,male,37.0,cash
c244213,male,34.0,debit card
c162371,female,53.0,debit card
c584141,female,31.0,cash
c161285,female,20.0,credit card
c558480,female,56.0,credit card
c581947,male,46.0,cash
c281268,female,29.0,debit card
c826744,female,44.0,credit card
c109489,male,23.0,credit card
c269751,female,48.0,cash
c266462,male,27.0,cash
c267961,female,53.0,cash
c986860,male,39.0,credit card
c278588,female,35.0,debit card
c259539,female,54.0,credit card
c567509,female,50.0,cash
c486241,female,21.0,cash
c306892,male,21.0,cash
c317897,male,30.0,credit card
c222906,female,45.0,debit card
c167183,female,54.0,credit card
c107261,female,63.0,credit card
c291911,female,53.0,credit card
c134691,female,50.0,cash
c387164,female,29.0,debit card
c284031,male,29.0,cash
c109593,female,66.0,cash
c299172,male,56.0,cash
c289802,female,54.0,credit card
c210614,female,42.0,debit card
c209122,female,56.0,credit card
c218295,female,61.0,debit card
c703073,female,43.0,credit card
c282107,female,36.0,credit card
c229670,male,22.0,cash
c339339,male,34.0,credit card
c321993,female,49.0,credit card
c292758,male,47.0,credit card
c858536,female,65.0,credit card
c162986,male,21.0,credit card
c128618,female,35.0,cash
c331127,male,32.0,cash
c113739,male,38.0,cash
c297610,female,32.0,cash
c319935,male,48.0,cash
c322689,female,29.0,cash
c272419,female,62.0,credit card
c264687,female,52.0,credit card
c200317,female,19.0,credit card
c303444,female,51.0,debit card
c267843,male,58.0,debit card
c235482,female,54.0,credit card
c690345,female,42.0,cash
c114606,female,34.0,debit card
c884264,male,60.0,credit card
c136585,female,52.0,cash
c230543,male,30.0,debit card
c158968,female,47.0,credit card
c144823,female,20.0,debit card
c149637,female,52.0,cash
c766767,male,67.0,cash
c322195,male,54.0,debit card
c300832,male,37.0,credit card
c812425,female,53.0,cash
c249725,female,62.0,credit card
c105474,female,55.0,credit card
c870412,female,24.0,debit card
c289614,male,31.0,cash
c108756,female,45.0,credit card
c462416,female,63.0,credit card
c832010,female,59.0,debit card
c981925,male,51.0,debit card
c237757,male,44.0,credit card
c179915,male,40.0,debit card
c261316,male,32.0,cash
c184322,female,61.0,cash
c211763,male,63.0,cash
c158827,female,50.0,credit card
c293612,female,60.0,debit card
c316806,male,64.0,cash
c289650,female,36.0,debit card
c230619,male,64.0,cash
c296318,male,49.0,cash
c993876,female,38.0,debit card
c120118,male,55.0,credit card
c310676,female,59.0,debit card
c845711,female,34.0,credit card
c709824,female,68.0,debit card
c162162,male,30.0,cash
c295880,female,50.0,cash
c245681,female,42.0,credit card
c750093,male,34.0,cash
c187110,female,27.0,debit card
c197522,male,39.0,credit card
c128660,female,45.0,credit card
c334601,female,26.0,cash
c295466,male,55.0,cash
c382952,male,18.0,credit card
c313275,female,34.0,cash
c892096,male,24.0,cash
c119219,female,68.0,credit card
c273853,female,62.0,debit card
c198161,female,68.0,credit card
c131842,female,31.0,debit card
c136014,male,49.0,cash
c283350,female,29.0,credit card
c125296,female,41.0,cash
c170508,female,21.0,cash
c894269,female,69.0,debit card
c625736,female,18.0,credit card
c144276,female,66.0,credit card
c125800,female,41.0,debit card
c115898,male,26.0,cash
c210240,female,69.0,credit card
c105764,male,67.0,cash
c143430,female,42.0,debit card
c306089,female,43.0,cash
c886153,female,32.0,credit card
c240135,female,34.0,cash
c187422,female,69.0,cash
c488263,female,64.0,cash
c134039,female,69.0,credit card
c828402,male,64.0,cash
c225949,female,28.0,cash
c243451,female,36.0,cash
c353540,male,20.0,cash
c572091,female,38.0,cash
c289260,female,36.0,debit card
c268455,female,64.0,debit card
c279559,female,23.0,credit card
c422499,male,39.0,cash
c311887,female,35.0,cash
c143471,male,39.0,debit card
c661696,female,53.0,cash
c203624,male,24.0,cash
c238146,male,55.0,credit card
c325757,female,61.0,cash
c176604,female,39.0,cash
c272792,female,29.0,cash
c233646,female,50.0,cash
c246959,female,54.0,cash
c198062,male,36.0,cash
c297260,male,31.0,credit card
c952467,female,37.0,cash
c578468,female,22.0,cash
c336809,female,61.0,cash
c117351,female,69.0,cash
c318000,male,42.0,credit card
c211689,female,44.0,debit card
c311661,female,54.0,cash
c632239,female,27.0,cash
c113670,male,28.0,debit card
c205210,female,60.0,debit card
c151884,female,56.0,credit card
c143091,male,29.0,cash
c262982,female,37.0,cash
c241260,female,49.0,debit card
c192403,female,29.0,credit card
c173979,male,39.0,credit card
c116013,female,22.0,cash
c876606,female,59.0,cash
c231125,female,51.0,credit card
c155210,male,18.0,cash
c308224,female,36.0,cash
c561708,male,55.0,debit card
c173996,female,59.0,cash
c140031,male,32.0,cash
c262657,female,69.0,credit card
c295545,female,64.0,credit card
c248081,female,23.0,credit card
c184011,male,26.0,credit card
c140342,female,68.0,credit card
c958378,female,55.0,debit card
c274639,female,69.0,cash
c370083,male,68.0,credit card
c208335,male,22.0,credit card
c314543,male,29.0,credit card
c496957,male,48.0,credit card
c226901,male,52.0,cash
c525444,female,36.0,credit card
c323715,male,53.0,credit card
c216402,female,28.0,debit card
c157231,female,64.0,credit card
c644501,female,45.0,cash
c226800,female,65.0,credit card
c120670,female,58.0,cash
c472457,male,39.0,credit card
c137694,male,53.0,cash
c851697,female,39.0,credit card
c259650,male,54.0,cash
c277636,female,18.0,cash
c197871,female,42.0,debit card
c306867,male,68.0,cash
c214743,male,67.0,cash
c335983,male,20.0,cash
c309927,male,30.0,credit card
c164736,female,41.0,cash
c193427,female,39.0,credit card
c261459,male,33.0,debit card
c332667,female,66.0,debit card
c241345,female,40.0,credit card
c151925,female,18.0,credit card
c535096,female,49.0,credit card
c219995,female,30.0,debit card
c623628,female,35.0,cash
c963729,female,48.0,debit card
c202744,female,51.0,cash
c163301,male,29.0,credit card
c654762,female,54.0,debit card
c135162,female,49.0,debit card
c114698,female,24.0,credit card
c865866,male,18.0,cash
c599749,female,49.0,cash
c252500,male,65.0,cash
c194270,male,33.0,cash
c330263,female,40.0,debit card
c318751,male,47.0,credit card
c176551,female,27.0,credit card
c968038,female,60.0,debit card
c184299,female,41.0,credit card
c696396,female,42.0,debit card
c208165,male,48.0,credit card
c110520,female,23.0,credit card
c640694,female,42.0,credit card
c759854,female,38.0,cash
c934207,female,58.0,cash
c296532,male,37.0,credit card
c162352,female,43.0,cash
c228581,male,54.0,cash
c247391,female,31.0,credit card
c883222,female,30.0,credit card
c137037,male,24.0,cash
c202302,male,55.0,credit card
c225310,female,40.0,credit card
c217169,female,33.0,credit card
c227568,female,68.0,credit card
c176047,male,23.0,credit card
c115193,male,57.0,cash
c297518,female,24.0,debit card
c827434,male,65.0,cash
c129645,female,59.0,credit card
c182431,female,20.0,cash
c259341,male,32.0,cash
c145780,male,55.0,credit card
c133580,male,42.0,credit card
c163096,male,27.0,credit card
c234828,female,48.0,cash
c265704,male,67.0,debit card
c630983,male,27.0,debit card
c196894,female,54.0,debit card
c319815,male,28.0,cash
c130963,female,44.0,debit card
c178461,female,61.0,debit card
c238205,female,58.0,debit card
c182764,female,42.0,credit card
c209884,female,61.0,cash
c159217,male,56.0,cash
c751695,female,43.0,debit card
c169195,female,62.0,credit card
c339398,female,39.0,debit card
c236866,female,32.0,cash
c158981,female,61.0,debit card
c149392,female,52.0,debit card
c314798,female,51.0,debit card
c197040,female,60.0,cash
c331096,female,28.0,cash
c383440,male,40.0,debit card
c239069,male,53.0,cash
c908588,male,37.0,cash
c527849,female,62.0,credit card
c247150,male,60.0,cash
c335089,female,19.0,debit card
c300779,male,52.0,debit card
c330674,female,30.0,credit card
c250159,female,45.0,credit card
c293126,female,25.0,cash
c630501,female,26.0,debit card
c194754,female,25.0,debit card
c270649,female,28.0,credit card
c312025,female,50.0,cash
c330392,female,61.0,cash
c279326,female,45.0,debit card
c218136,female,19.0,credit card
c283913,female,26.0,credit card
c992343,female,29.0,credit card
c111703,male,18.0,credit card
c247307,male,26.0,credit card
c262603,female,44.0,cash
c282400,female,56.0,credit card
c115590,female,65.0,debit card
