invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
i992454,c196845,toys,4,143.36,07-03-2023,cevahir avm
i183746,c220180,clothing,1,300.08,15-02-2023,emaar square mall
i339732,c276887,food & beverage,1,5.23,04-01-2023,emaar square mall
i267193,c317818,cosmetics,3,121.98,12-01-2023,mall of istanbul
i202367,c317478,books,3,45.45,24-02-2023,istinye park
i664787,c237330,cosmetics,2,81.32,12-01-2023,istinye park
i260525,c258404,toys,3,107.52,07-01-2023,emaar square mall
i321683,c542025,cosmetics,4,162.64,06-01-2023,metrocity
i195567,c992677,clothing,4,1200.32,22-01-2023,metropol avm
i985478,c324683,clothing,4,1200.32,24-01-2023,kanyon
i134452,c112750,clothing,1,300.08,15-01-2023,forum istanbul
i215279,c223343,clothing,2,600.16,01-02-2023,kanyon
i222086,c978718,clothing,5,1500.4,09-02-2023,emaar square mall
i170160,c244213,toys,2,71.68,26-02-2023,metrocity
i278401,c162371,toys,1,35.84,31-01-2023,mall of istanbul
i198233,c584141,cosmetics,4,162.64,13-02-2023,metropol avm
i156233,c161285,clothing,1,300.08,11-01-2023,mall of istanbul
i504141,c558480,cosmetics,1,40.66,23-02-2023,kanyon
i525798,c581947,cosmetics,4,162.64,03-02-2023,mall of istanbul
i198698,c281268,clothing,1,300.08,15-01-2023,metropol avm
i428118,c826744,shoes,2,1200.34,12-01-2023,kanyon
i239703,c109489,food & beverage,3,15.69,17-01-2023,kanyon
i216982,c269751,souvenir,4,46.92,02-01-2023,metrocity
i115679,c266462,clothing,1,300.08,10-01-2023,kanyon
i940840,c267961,cosmetics,2,81.32,19-02-2023,istinye park
i305432,c986860,toys,3,107.52,26-01-2023,mall of istanbul
i119142,c278588,cosmetics,5,203.3,25-01-2023,cevahir avm
i908600,c259539,cosmetics,4,162.64,23-02-2023,forum istanbul
i337094,c567509,technology,1,1050.0,09-02-2023,zorlu center
i436935,c486241,cosmetics,4,162.64,26-02-2023,istinye park
i585560,c306892,shoes,2,1200.34,17-02-2023,mall of istanbul
i304567,c317897,souvenir,2,23.46,08-03-2023,forum istanbul
i289611,c222906,clothing,3,900.24,08-03-2023,cevahir avm
i258204,c167183,clothing,1,300.08,03-02-2023,emaar square mall
i264491,c107261,cosmetics,5,203.3,13-02-2023,metropol avm
i941223,c291911,clothing,5,1500.4,03-02-2023,emaar square mall
i846943,c134691,cosmetics,4,162.64,06-01-2023,mall of istanbul
i946433,c387164,technology,4,4200.0,02-02-2023,kanyon
i721903,c284031,food & beverage,2,10.46,09-01-2023,mall of istanbul
i423124,c109593,clothing,1,300.08,07-01-2023,metrocity
i208491,c299172,clothing,1,300.08,18-01-2023,kanyon
i873382,c289802,shoes,4,2400.68,07-01-2023,metrocity
i283774,c210614,toys,1,35.84,01-01-2023,istinye park
i291062,c209122,cosmetics,4,162.64,05-03-2023,kanyon
i648743,c218295,shoes,5,3000.85,02-01-2023,mall of istanbul
i254341,c703073,food & beverage,2,10.46,21-01-2023,metropol avm
i300520,c282107,books,3,45.45,02-02-2023,metrocity
i936118,c229670,food & beverage,3,15.69,19-02-2023,istinye park
i230701,c339339,clothing,2,600.16,19-02-2023,emaar square mall
i230983,c321993,clothing,1,300.08,02-03-2023,kanyon
i117277,c292758,clothing,1,300.08,11-01-2023,istinye park
i158486,c858536,food & beverage,3,15.69,10-02-2023,istinye park
i325555,c162986,technology,4,4200.0,30-01-2023,metrocity
i194268,c128618,souvenir,5,58.65,26-02-2023,metropol avm
i205336,c331127,cosmetics,1,40.66,01-02-2023,istinye park
i231029,c113739,clothing,4,1200.32,18-01-2023,istinye park
i193148,c297610,clothing,4,1200.32,11-02-2023,cevahir avm
i318625,c319935,technology,5,5250.0,26-02-2023,zorlu center
i610847,c322689,clothing,4,1200.32,06-02-2023,metrocity
i145917,c272419,cosmetics,5,203.3,01-02-2023,forum istanbul
i173288,c264687,food & beverage,5,26.15,25-01-2023,metrocity
i174942,c200317,clothing,3,900.24,23-01-2023,kanyon
i466698,c303444,shoes,3,1800.51,24-02-2023,kanyon
i131869,c267843,food & beverage,1,5.23,29-01-2023,kanyon
i165583,c235482,clothing,1,300.08,08-02-2023,metrocity
i187453,c690345,shoes,3,1800.51,29-01-2023,metrocity
i929854,c114606,shoes,1,600.17,04-01-2023,metropol avm
i338411,c884264,books,5,75.75,17-01-2023,mall of istanbul
i218234,c136585,toys,3,107.52,28-02-2023,forum istanbul
i268823,c230543,clothing,1,300.08,08-02-2023,istinye park
i256639,c158968,cosmetics,4,162.64,05-03-2023,kanyon
i140825,c144823,cosmetics,2,81.32,04-02-2023,kanyon
i198156,c149637,food & beverage,4,20.92,26-02-2023,metropol avm
i186033,c766767,books,5,75.75,12-01-2023,kanyon
i307337,c322195,shoes,3,1800.51,25-02-2023,metropol avm
i910927,c300832,clothing,3,900.24,16-01-2023,kanyon
i240283,c812425,shoes,4,2400.68,10-01-2023,metropol avm
i788206,c249725,cosmetics,2,81.32,21-02-2023,istinye park
i262240,c105474,cosmetics,1,40.66,15-01-2023,mall of istanbul
i846448,c870412,cosmetics,1,40.66,24-02-2023,emaar square mall
i701994,c289614,food & beverage,1,5.23,09-02-2023,forum istanbul
i334498,c108756,cosmetics,3,121.98,27-01-2023,istinye park
i176867,c462416,clothing,2,600.16,13-02-2023,metrocity
i249846,c832010,food & beverage,2,10.46,17-02-2023,kanyon
i255430,c981925,cosmetics,3,121.98,13-02-2023,mall of istanbul
i165932,c237757,cosmetics,3,121.98,04-03-2023,cevahir avm
i177444,c179915,clothing,3,900.24,09-01-2023,emaar square mall
i144412,c261316,cosmetics,1,40.66,07-03-2023,metrocity
i215044,c184322,cosmetics,1,40.66,19-01-2023,forum istanbul
i752293,c211763,clothing,4,1200.32,02-03-2023,zorlu center
i306370,c158827,shoes,4,2400.68,19-01-2023,metrocity
i145120,c293612,clothing,4,1200.32,04-02-2023,metrocity
i304606,c316806,clothing,4,1200.32,07-03-2023,metrocity
i174237,c289650,cosmetics,1,40.66,12-02-2023,emaar square mall
i231403,c230619,cosmetics,5,203.3,06-02-2023,mall of istanbul
i317840,c296318,clothing,2,600.16,10-02-2023,kanyon
i288734,c993876,clothing,4,1200.32,07-03-2023,kanyon
i980023,c120118,cosmetics,5,203.3,20-01-2023,metrocity
i245816,c310676,clothing,5,1500.4,19-01-2023,emaar square mall
i317125,c845711,books,2,30.3,30-01-2023,kanyon
i145770,c709824,technology,4,4200.0,06-01-2023,emaar square mall
i364470,c162162,shoes,2,1200.34,24-01-2023,istinye park
i637087,c295880,clothing,5,1500.4,12-02-2023,kanyon
i335650,c245681,clothing,5,1500.4,30-01-2023,mall of istanbul
i296120,c750093,clothing,2,600.16,10-02-2023,metrocity
i227528,c187110,clothing,4,1200.32,17-01-2023,istinye park
i289344,c197522,cosmetics,4,162.64,17-01-2023,emaar square mall
i228840,c128660,clothing,2,600.16,05-03-2023,kanyon
i133290,c334601,clothing,5,1500.4,08-01-2023,metrocity
i340342,c295466,food & beverage,1,5.23,04-03-2023,metrocity
i421240,c382952,souvenir,2,23.46,28-01-2023,istinye park
i132312,c313275,souvenir,5,58.65,14-01-2023,kanyon
i392560,c892096,cosmetics,3,121.98,22-02-2023,metropol avm
i301174,c119219,shoes,2,1200.34,15-01-2023,metrocity
i227236,c273853,shoes,3,1800.51,18-02-2023,mall of istanbul
i329009,c198161,cosmetics,4,162.64,20-02-2023,mall of istanbul
i133527,c131842,food & beverage,1,5.23,12-01-2023,mall of istanbul
i280717,c136014,cosmetics,1,40.66,18-01-2023,metropol avm
i157192,c283350,cosmetics,5,203.3,24-01-2023,mall of istanbul
i101731,c125296,books,3,45.45,23-01-2023,mall of istanbul
i135796,c170508,cosmetics,2,81.32,03-03-2023,kanyon
i716275,c894269,shoes,4,2400.68,19-01-2023,metropol avm
i240580,c625736,books,4,60.6,02-01-2023,kanyon
i339346,c144276,food & beverage,5,26.15,13-01-2023,mall of istanbul
i284344,c125800,food & beverage,5,26.15,05-01-2023,mall of istanbul
i857171,c115898,shoes,2,1200.34,12-02-2023,emaar square mall
i201709,c210240,souvenir,5,58.65,02-03-2023,mall of istanbul
i868553,c105764,souvenir,2,23.46,16-02-2023,emaar square mall
i254673,c143430,cosmetics,2,81.32,18-02-2023,kanyon
i255301,c306089,clothing,5,1500.4,21-02-2023,metropol avm
i844405,c886153,clothing,2,600.16,06-02-2023,metropol avm
i304830,c240135,clothing,1,300.08,08-03-2023,kanyon
i128667,c187422,clothing,2,600.16,08-01-2023,metropol avm
i108567,c488263,clothing,1,300.08,29-01-2023,metrocity
i150364,c134039,food & beverage,5,26.15,29-01-2023,metrocity
i298023,c828402,food & beverage,1,5.23,06-03-2023,viaport outlet
i797149,c225949,toys,5,179.2,05-02-2023,metrocity
i222463,c243451,clothing,1,300.08,29-01-2023,viaport outlet
i875529,c353540,food & beverage,5,26.15,31-01-2023,mall of istanbul
i139530,c572091,food & beverage,2,10.46,31-01-2023,kanyon
i206642,c289260,cosmetics,3,121.98,12-01-2023,zorlu center
i283507,c268455,clothing,3,900.24,02-02-2023,mall of istanbul
i272181,c279559,clothing,2,600.16,22-01-2023,kanyon
i173444,c422499,books,2,30.3,05-03-2023,metrocity
i297633,c311887,clothing,1,300.08,08-02-2023,viaport outlet
i400888,c143471,cosmetics,5,203.3,07-02-2023,zorlu center
