Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
1,3,2,2010-07-19,,
2,2,2,2010-07-19,,
3,5,2,2010-07-19,,
4,5,2,2010-07-19,,
5,3,2,2010-07-19,,
6,4,2,2010-07-19,,
7,2,2,2010-07-19,,
10,3,2,2010-07-19,,
11,5,2,2010-07-19,,
12,6,2,2010-07-19,,
13,6,5,2010-07-19,58.0,
14,10,2,2010-07-19,,
15,5,2,2010-07-19,,
16,2,2,2010-07-19,,
17,6,2,2010-07-19,,
19,6,5,2010-07-19,6.0,
20,1,2,2010-07-19,,
21,3,2,2010-07-19,,
22,5,2,2010-07-19,,
23,9,2,2010-07-19,,
24,14,2,2010-07-19,,
25,16,2,2010-07-19,,
26,13,2,2010-07-19,,
27,6,2,2010-07-19,,
28,17,2,2010-07-19,,
29,14,3,2010-07-19,,
30,21,2,2010-07-19,,
31,1,2,2010-07-19,,
32,22,2,2010-07-19,,
33,2,2,2010-07-19,,
34,5,2,2010-07-19,,
35,20,2,2010-07-19,,
36,16,2,2010-07-19,,
37,1,2,2010-07-19,,
38,15,2,2010-07-19,,
39,6,2,2010-07-19,,
40,5,2,2010-07-19,,
41,13,2,2010-07-19,,
42,5,2,2010-07-19,,
43,4,2,2010-07-19,,
44,9,2,2010-07-19,,
45,17,2,2010-07-19,,
46,31,2,2010-07-19,,
47,22,2,2010-07-19,,
48,22,2,2010-07-19,,
49,17,2,2010-07-19,,
50,22,2,2010-07-19,,
51,29,2,2010-07-19,,
52,20,2,2010-07-19,,
53,2,2,2010-07-19,,
54,25,2,2010-07-19,,
55,32,2,2010-07-19,,
56,31,2,2010-07-19,,
57,22,5,2010-07-19,66.0,
58,26,2,2010-07-19,,
59,1,5,2010-07-19,66.0,
61,5,2,2010-07-19,,
62,3,2,2010-07-19,,
63,26,2,2010-07-19,,
65,3,2,2010-07-19,,
66,32,2,2010-07-19,,
67,40,2,2010-07-19,,
68,45,2,2010-07-19,,
69,8,3,2010-07-19,,
70,33,2,2010-07-19,,
71,49,2,2010-07-19,,
72,8,3,2010-07-19,,
73,46,3,2010-07-19,,
74,6,2,2010-07-19,,
75,6,5,2010-07-19,71.0,
76,5,2,2010-07-19,,
77,3,2,2010-07-19,,
78,40,2,2010-07-19,,
79,28,2,2010-07-19,,
81,31,2,2010-07-19,,
82,8,3,2010-07-19,,
84,50,2,2010-07-19,,
85,52,2,2010-07-19,,
86,47,2,2010-07-19,,
87,52,2,2010-07-19,,
88,22,2,2010-07-19,,
89,22,5,2010-07-19,22.0,
90,53,2,2010-07-19,,
91,59,2,2010-07-19,,
92,50,2,2010-07-19,,
93,56,2,2010-07-19,,
94,45,2,2010-07-19,,
95,36,2,2010-07-19,,
96,63,2,2010-07-19,,
97,44,2,2010-07-19,,
98,63,2,2010-07-19,,
99,36,2,2010-07-19,,
100,65,2,2010-07-19,,
101,66,2,2010-07-19,,
102,69,2,2010-07-19,,
103,48,2,2010-07-19,,
104,49,2,2010-07-19,,
105,65,2,2010-07-19,,
106,5,2,2010-07-19,,
107,14,2,2010-07-19,,
108,65,2,2010-07-19,,
109,65,2,2010-07-19,,
110,31,5,2010-07-19,94.0,
111,31,2,2010-07-19,,
112,58,2,2010-07-19,,
113,12,2,2010-07-19,,
114,71,2,2010-07-19,,
115,6,2,2010-07-19,,
116,6,5,2010-07-19,22.0,
118,61,2,2010-07-19,,
119,41,2,2010-07-19,,
120,77,2,2010-07-19,,
121,48,2,2010-07-19,,
122,72,2,2010-07-19,,
123,57,3,2010-07-19,,
124,63,2,2010-07-19,,
125,53,2,2010-07-19,,
127,5,2,2010-07-19,,
128,44,3,2010-07-19,,
132,46,3,2010-07-19,,
133,5,2,2010-07-19,,
134,65,2,2010-07-19,,
135,73,3,2010-07-19,,
136,76,2,2010-07-19,,
137,3,2,2010-07-19,,
139,53,2,2010-07-19,,
140,53,5,2010-07-19,87.0,
141,77,2,2010-07-19,,
142,36,2,2010-07-19,,
143,73,2,2010-07-19,,
144,76,2,2010-07-19,,
145,36,2,2010-07-19,,
146,79,2,2010-07-19,,
147,44,5,2010-07-19,102.0,
148,44,2,2010-07-19,,
149,44,2,2010-07-19,,
150,63,2,2010-07-19,,
151,67,3,2010-07-19,,
152,84,2,2010-07-19,,
154,80,2,2010-07-19,,
155,8,2,2010-07-19,,
156,44,2,2010-07-19,,
157,84,2,2010-07-19,,
158,57,3,2010-07-19,,
160,43,2,2010-07-19,,
161,44,2,2010-07-19,,
162,84,2,2010-07-19,,
163,8,3,2010-07-19,,
164,57,2,2010-07-19,,
165,85,2,2010-07-19,,
166,50,2,2010-07-19,,
167,48,2,2010-07-19,,
168,76,2,2010-07-19,,
169,81,2,2010-07-19,,
170,64,2,2010-07-19,,
171,51,2,2010-07-19,,
173,80,2,2010-07-19,,
174,50,2,2010-07-19,,
176,90,2,2010-07-19,,
177,83,2,2010-07-19,,
178,23,2,2010-07-19,,
179,59,2,2010-07-19,,
180,2,2,2010-07-19,,
181,26,2,2010-07-19,,
182,91,2,2010-07-19,,
183,91,2,2010-07-19,,
186,94,2,2010-07-19,,
187,5,2,2010-07-19,,
188,31,2,2010-07-19,,
189,5,2,2010-07-19,,
190,76,2,2010-07-19,,
191,73,2,2010-07-19,,
192,97,2,2010-07-19,,
193,47,2,2010-07-19,,
194,10,2,2010-07-19,,
195,43,2,2010-07-19,,
196,78,2,2010-07-19,,
197,55,2,2010-07-19,,
198,44,2,2010-07-19,,
199,89,2,2010-07-19,,
200,15,2,2010-07-19,,
201,98,2,2010-07-19,,
202,91,2,2010-07-19,,
203,5,2,2010-07-19,,
204,6,5,2010-07-19,24.0,
205,10,5,2010-07-19,24.0,
206,54,2,2010-07-19,,
208,95,2,2010-07-19,,
209,100,2,2010-07-19,,
211,73,3,2010-07-19,,
214,76,2,2010-07-19,,
215,105,2,2010-07-19,,
216,102,3,2010-07-19,,
217,67,2,2010-07-19,,
218,44,3,2010-07-19,,
219,3,2,2010-07-19,,
220,78,2,2010-07-19,,
221,105,2,2010-07-19,,
222,107,2,2010-07-19,,
223,31,2,2010-07-19,,
224,103,2,2010-07-19,,
226,69,2,2010-07-19,,
227,75,2,2010-07-19,,
228,75,5,2010-07-19,22.0,
229,1,2,2010-07-19,,
230,80,2,2010-07-19,,
231,99,2,2010-07-19,,
232,26,2,2010-07-19,,
233,80,1,2010-07-19,,
234,104,2,2010-07-19,,
235,103,2,2010-07-19,,
236,105,2,2010-07-19,,
237,107,2,2010-07-19,,
238,108,2,2010-07-19,,
239,103,5,2010-07-19,128.0,
