query_id,entity,rel_score
SemSearch_LS-1,<dbpedia:Alan_Bean>,2
SemSearch_LS-1,<dbpedia:Alan_Shepard>,2
SemSearch_LS-1,<dbpedia:Alfred_Worden>,1
SemSearch_LS-1,<dbpedia:Apollo_11>,1
SemSearch_LS-1,<dbpedia:Apollo_12>,1
SemSearch_LS-1,<dbpedia:Apollo_14>,1
SemSearch_LS-1,<dbpedia:Apollo_16>,1
SemSearch_LS-1,<dbpedia:Apollo_17>,1
SemSearch_LS-1,<dbpedia:Apollo_program>,1
SemSearch_LS-1,<dbpedia:Buzz_Aldrin>,2
SemSearch_LS-1,<dbpedia:David_Scott>,1
SemSearch_LS-1,<dbpedia:Edgar_Mitchell>,1
SemSearch_LS-1,<dbpedia:Fred_Haise>,2
SemSearch_LS-1,<dbpedia:Harrison_Schmitt>,1
SemSearch_LS-1,<dbpedia:James_Irwin>,2
SemSearch_LS-1,<dbpedia:John_Young_(astronaut)>,1
SemSearch_LS-1,<dbpedia:List_of_Apollo_astronauts>,1
SemSearch_LS-1,<dbpedia:List_of_astronauts_by_name>,1
SemSearch_LS-1,<dbpedia:Michael_Collins_(astronaut)>,2
SemSearch_LS-1,<dbpedia:NASA_Astronaut_Group_3>,1
SemSearch_LS-1,<dbpedia:NASA_Astronaut_Group_5>,1
SemSearch_LS-1,<dbpedia:Neil_Armstrong>,2
SemSearch_LS-1,<dbpedia:Pete_Conrad>,1
SemSearch_LS-1,<dbpedia:Rusty_Schweickart>,1
SemSearch_LS-1,<dbpedia:Tranquility_Base>,1
SemSearch_LS-10,<dbpedia:Antonia_Kidman>,2
SemSearch_LS-10,<dbpedia:Nicole_Kidman>,1
SemSearch_LS-11,<dbpedia:Archbishop_of_Dublin_(Church_of_Ireland)>,1
SemSearch_LS-11,<dbpedia:Archbishop_of_Dublin_(Roman_Catholic)>,1
SemSearch_LS-11,<dbpedia:Archdeacon_of_Cloyne>,1
SemSearch_LS-11,<dbpedia:Archdeacon_of_Ossory>,1
SemSearch_LS-11,"<dbpedia:Archdeacon_of_Ross,_Ireland>",1
SemSearch_LS-11,<dbpedia:Archdiocese_of_Tuam_(Church_of_Ireland)>,1
SemSearch_LS-11,<dbpedia:Ardtrea_North>,1
SemSearch_LS-11,<dbpedia:Bishop_of_Ardagh>,1
SemSearch_LS-11,<dbpedia:Bishop_of_Cashel_and_Ossory>,1
SemSearch_LS-11,<dbpedia:Bishop_of_Clogher>,1
SemSearch_LS-11,<dbpedia:Cathedral_Church_of_St._Fachtna>,1
SemSearch_LS-11,"<dbpedia:Christ_Church_Cathedral,_Lisburn>",1
SemSearch_LS-11,<dbpedia:Church_of_Ireland>,1
SemSearch_LS-11,<dbpedia:Diocese_of_Armagh_(Church_of_Ireland)>,1
SemSearch_LS-11,<dbpedia:Diocese_of_Cashel_and_Ossory>,1
SemSearch_LS-11,<dbpedia:Diocese_of_Clogher_(Church_of_Ireland)>,2
SemSearch_LS-11,<dbpedia:Diocese_of_Connor_(Church_of_Ireland)>,2
SemSearch_LS-11,"<dbpedia:Diocese_of_Cork,_Cloyne_and_Ross>",1
SemSearch_LS-11,<dbpedia:Diocese_of_Derry_and_Raphoe>,1
SemSearch_LS-11,<dbpedia:Diocese_of_Down_and_Dromore>,1
SemSearch_LS-11,<dbpedia:Diocese_of_Dublin_and_Glendalough>,2
SemSearch_LS-11,"<dbpedia:Diocese_of_Kilmore,_Elphin_and_Ardagh>",1
SemSearch_LS-11,<dbpedia:Diocese_of_Limerick_and_Killaloe>,2
SemSearch_LS-11,<dbpedia:Diocese_of_Meath>,1
SemSearch_LS-11,<dbpedia:Diocese_of_Meath_and_Kildare>,2
SemSearch_LS-11,<dbpedia:Diocese_of_Ossory>,1
SemSearch_LS-11,<dbpedia:Diocese_of_Ross_(Ireland)>,1
SemSearch_LS-11,"<dbpedia:Diocese_of_Tuam,_Killala_and_Achonry>",2
SemSearch_LS-11,<dbpedia:Glendalough>,1
SemSearch_LS-11,<dbpedia:List_of_Anglican_dioceses_in_the_United_Kingdom_and_Ireland>,1
SemSearch_LS-11,<dbpedia:List_of_Roman_Catholic_dioceses_in_Ireland>,1
SemSearch_LS-11,<dbpedia:List_of_cathedrals_in_Ireland>,1
SemSearch_LS-11,<dbpedia:Province_of_Armagh_(Church_of_Ireland)>,1
SemSearch_LS-11,<dbpedia:Roman_Catholic_Archdiocese_of_Dublin>,1
SemSearch_LS-11,<dbpedia:Roman_Catholic_Diocese_of_Cork_and_Ross>,2
SemSearch_LS-11,<dbpedia:Roman_Catholic_Diocese_of_Derry>,1
SemSearch_LS-11,<dbpedia:Roman_Catholic_Diocese_of_Kilmore>,1
SemSearch_LS-11,<dbpedia:Roman_Catholicism_in_Ireland>,1
SemSearch_LS-11,<dbpedia:Russian_Orthodox_Church_in_Great_Britain_and_Ireland>,1
SemSearch_LS-11,<dbpedia:Saint_Bridget_of_Ireland_Church>,1
SemSearch_LS-11,<dbpedia:Saint_Fin_Barre's_Cathedral>,1
SemSearch_LS-11,"<dbpedia:St._Philip_and_St._James_Church,_Booterstown>",1
SemSearch_LS-11,"<dbpedia:St_Macartin's_Cathedral,_Enniskillen>",1
SemSearch_LS-11,"<dbpedia:St_Mary's_Cathedral,_Tuam>",1
SemSearch_LS-11,<dbpedia:Taney_Parish>,1
SemSearch_LS-11,<dbpedia:Trim_Cathedral>,1
SemSearch_LS-12,<dbpedia:Atomic_Bomb_Casualty_Commission>,1
SemSearch_LS-12,<dbpedia:Atomic_bombings_of_Hiroshima_and_Nagasaki>,2
SemSearch_LS-12,<dbpedia:Dayton_Project>,1
SemSearch_LS-12,<dbpedia:Debate_over_the_atomic_bombings_of_Hiroshima_and_Nagasaki>,1
SemSearch_LS-12,<dbpedia:Enola_Gay>,1
SemSearch_LS-12,<dbpedia:Hibakusha>,1
