account_id,district_id,frequency,date,loan_id,amount,duration,payments,status,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
426,1,POPLATEK MESICNE,1993-11-29,5060,252060,60,4201,D,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
1869,1,POPLATEK MESICNE,1996-06-14,5332,37944,36,1054,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
1876,1,POPLATEK MESICNE,1997-09-20,5334,209040,24,8710,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
1906,1,POPLATEK MESICNE,1996-08-01,5343,44952,24,1873,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
2143,1,POPLATEK MESICNE,1996-01-13,5385,71460,36,1985,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
2246,1,POPLATEK MESICNE,1996-04-25,5419,415800,60,6930,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
2268,1,POPLATEK MESICNE,1995-02-11,5429,20196,36,561,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
2545,1,POPLATEK MESICNE,1996-12-04,5491,428784,48,8933,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
2622,1,POPLATEK MESICNE,1996-08-21,5501,136344,24,5681,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
2872,1,POPLATEK MESICNE,1996-09-04,5556,268320,60,4472,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
