cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate
33670333330701,S,Santiago High,Corona-Norco Unified,Riverside,822,523,498.0,512.0,499.0,259.0,33670333330701,609850.0,4959.0,Active,Riverside,Corona-Norco Unified,Santiago High,1395 Foothill Parkway,1395 Foothill Pkwy.,Corona,92881-0996,CA,1395 Foothill Parkway,1395 Foothill Pkwy.,Corona,92881-0996,CA,(951) 739-5600,,www.cnusd.k12.ca.us/shs,1995-09-05,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0.0,33.833999,-117.54604,Seth,Bond,sbond@cnusd.k12.ca.us,,,,,,,2016-07-19
41690624138053,S,Woodside High,Sequoia Union High,San Mateo,428,208,500.0,510.0,499.0,108.0,41690624138053,636390.0,6199.0,Active,San Mateo,Sequoia Union High,Woodside High,199 Churchill Avenue,199 Churchill Ave.,Woodside,94062-2306,CA,199 Churchill Avenue,199 Churchill Ave.,Woodside,94062-2306,CA,(650) 367-9750,,,1980-07-01,,0.0,,,56,High School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,37.442647,-122.23064,Diane,Burbank,dburbank@seq.org,,,,,,,2015-06-18
12630401237007,S,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,46,14,544.0,509.0,499.0,7.0,12630401237007,637590.0,6369.0,Active,Humboldt,Southern Humboldt Joint Unified,South Fork Junior - Senior High,6831 Avenue of the Giants,6831 Avenue of the Giants,Miranda,95553-0188,CA,PO Box 188,PO Box 188,Miranda,95553-0188,CA,(707) 943-3144,,,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,40.23697,-123.82416,Silas,Radcliffe,silasradcliffe@sohumusd.com,Jeff,Landry,jefflandry@sohumusd.com,,,,2016-08-22
12630400000000,D,,Southern Humboldt Joint Unified,Humboldt,47,14,544.0,509.0,499.0,7.0,12630400000000,637590.0,,Active,Humboldt,Southern Humboldt Joint Unified,,110 School Road,110 School Rd.,Miranda,95553,CA,PO Box 650,PO Box 650,Miranda,95553-0650,CA,(707) 943-1789,,http://apps.humboldt.k12.ca.us/sohumwp/,,,,,,54,Unified School District,,,,,,,,,,,40.2361,-123.823,Catherine,Scott,cscott@sohumusd.com,,,,,,,2016-08-17
30665143032505,S,Fullerton Union High,Fullerton Joint Union High,Orange,502,205,494.0,518.0,499.0,103.0,30665143032505,614760.0,1810.0,Active,Orange,Fullerton Joint Union High,Fullerton Union High,201 East Chapman Avenue,201 East Chapman Ave.,Fullerton,92832-1925,CA,201 East Chapman Avenue,201 East Chapman Ave.,Fullerton,92832-1925,CA,(714) 626-3801,,,1980-07-01,,0.0,,,56,High School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,1.0,33.874015,-117.92205,Rani,Goyal,rgoyal@fjuhsd.org,,,,,,,2015-10-26
41689240000000,D,,Jefferson Union High,San Mateo,1179,504,505.0,528.0,499.0,267.0,41689240000000,618930.0,,Active,San Mateo,Jefferson Union High,,"699 Serramonte Boulevard, Suite100","699 Serramonte Blvd., Ste.100",Daly City,94015-4132,CA,"699 Serramonte Boulevard, Suite100","699 Serramonte Blvd., Ste.100",Daly City,94015-4132,CA,(650) 550-7900,,www.juhsd.net,,,,,,56,High School District,,,,,,,,,,,37.669289,-122.47746,Dan,Burns,dburns@juhsd.net,,,,,,,2016-08-23
28662662830115,S,New Technology High,Napa Valley Unified,Napa,80,43,522.0,469.0,500.0,22.0,28662662830115,626640.0,6081.0,Active,Napa,Napa Valley Unified,New Technology High,920 Yount Street,920 Yount St.,Napa,94559-1808,CA,920 Yount Street,920 Yount St.,Napa,94559-1808,CA,(707) 259-8557,,http://newtechhigh.org/,1996-02-02,,0.0,,,54,Unified School District,63.0,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,0.0,38.304466,-122.28867,Riley,Johnson,rjohnson@nvusd.org,,,,,,,2015-08-19
19650601938752,S,Torrance High,Torrance Unified,Los Angeles,499,274,495.0,521.0,500.0,136.0,19650601938752,639420.0,6576.0,Active,Los Angeles,Torrance Unified,Torrance High,2200 Carson Street,2200 Carson St.,Torrance,90501-3135,CA,2200 Carson Street,2200 Carson St.,Torrance,90501-3135,CA,(310) 533-4396,,,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,8-12,P,0.0,33.831308,-118.32114,Karim,Girgis,kgirgis@tusd.org,Cheryl,Daugherty,daugherty.cheryl@tusd.org,Eric,Spotts,spotts.eric@tusd.org,2016-08-04
19651360102459,S,Golden Valley High,William S. Hart Union High,Los Angeles,513,245,504.0,510.0,500.0,117.0,19651360102459,642510.0,10912.0,Active,Los Angeles,William S. Hart Union High,Golden Valley High,27051 Robert C. Lee Parkway,27051 Robert C. Lee Pkwy.,Santa Clarita,91321-0500,CA,27051 Robert C. Lee Parkway,27051 Robert C. Lee Pkwy.,Santa Clarita,91321-0500,CA,(661) 298-8140,,www.goldenvalleyhs.org,2004-08-16,,0.0,,,56,High School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,34.399593,-118.49154,Sal,Frias,sfrias@hartdistrict.org,,,,,,,2016-08-22
39754990119040,S,John C. Kimball High,Tracy Joint Unified,San Joaquin,439,216,500.0,509.0,500.0,103.0,39754990119040,600047.0,12372.0,Active,San Joaquin,Tracy Joint Unified,John C. Kimball High,3200 Jaguar Run,3200 Jaguar Run,Tracy,95377-7216,CA,3200 Jaguar Run,3200 Jaguar Run,Tracy,95377-7216,CA,(209) 832-6600,,www.tracy.k12.ca.us/sites/khs,2009-08-12,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,37.733322,-121.47469,Rob,Pecot,rpecot@tusd.net,,,,,,,2015-12-18
