atom_id,molecule_id,element,atom_id2,bond_id,bond_type
TR004_10,TR004,n,TR004_12,TR004_10_12,-
TR004_10,TR004,n,TR004_21,TR004_10_21,-
TR004_10,TR004,n,TR004_9,TR004_9_10,-
TR004_2,TR004,p,TR004_1,TR004_1_2,-
TR004_2,TR004,p,TR004_3,TR004_2_3,-
TR004_2,TR004,p,TR004_4,TR004_2_4,-
TR004_2,TR004,p,TR004_5,TR004_2_5,-
TR006_1,TR006,n,TR006_2,TR006_1_2,-
TR006_1,TR006,n,TR006_3,TR006_1_3,-
TR006_1,TR006,n,TR006_4,TR006_1_4,-
TR006_23,TR006,n,TR006_24,TR006_23_24,-
TR006_23,TR006,n,TR006_25,TR006_23_25,-
TR006_23,TR006,n,TR006_26,TR006_23_26,-
TR007_11,TR007,n,TR007_10,TR007_10_11,-
TR007_11,TR007,n,TR007_13,TR007_11_13,-
TR007_11,TR007,n,TR007_26,TR007_11_26,-
TR007_12,TR007,n,TR007_10,TR007_10_12,=
TR007_12,TR007,n,TR007_27,TR007_12_27,-
TR007_14,TR007,n,TR007_13,TR007_13_14,-
TR007_14,TR007,n,TR007_28,TR007_14_28,-
TR007_14,TR007,n,TR007_29,TR007_14_29,-
TR007_15,TR007,n,TR007_13,TR007_13_15,=
TR007_15,TR007,n,TR007_30,TR007_15_30,-
TR007_9,TR007,n,TR007_8,TR007_8_9,-
TR007_9,TR007,n,TR007_10,TR007_9_10,-
TR007_9,TR007,n,TR007_25,TR007_9_25,-
TR010_1,TR010,p,TR010_2,TR010_1_2,-
TR010_1,TR010,p,TR010_3,TR010_1_3,-
TR010_1,TR010,p,TR010_4,TR010_1_4,-
TR010_1,TR010,p,TR010_5,TR010_1_5,-
TR011_3,TR011,n,TR011_2,TR011_2_3,-
TR011_3,TR011,n,TR011_5,TR011_3_5,-
TR011_3,TR011,n,TR011_6,TR011_3_6,-
TR011_4,TR011,n,TR011_1,TR011_1_4,-
TR011_4,TR011,n,TR011_7,TR011_4_7,-
TR011_4,TR011,n,TR011_8,TR011_4_8,-
TR015_3,TR015,n,TR015_1,TR015_1_3,-
TR015_3,TR015,n,TR015_7,TR015_3_7,-
TR015_3,TR015,n,TR015_8,TR015_3_8,-
TR019_14,TR019,n,TR019_13,TR019_13_14,-
TR019_14,TR019,n,TR019_15,TR019_14_15,-
TR019_14,TR019,n,TR019_31,TR019_14_31,-
TR019_15,TR019,n,TR019_14,TR019_14_15,-
TR019_15,TR019,n,TR019_16,TR019_15_16,-
TR019_15,TR019,n,TR019_32,TR019_15_32,-
TR019_2,TR019,n,TR019_1,TR019_1_2,-
TR019_2,TR019,n,TR019_17,TR019_2_17,-
TR019_2,TR019,n,TR019_5,TR019_2_5,-
TR020_16,TR020,n,TR020_14,TR020_14_16,-
TR020_16,TR020,n,TR020_26,TR020_16_26,-
TR020_16,TR020,n,TR020_27,TR020_16_27,-
TR020_17,TR020,n,TR020_15,TR020_15_17,-
TR020_17,TR020,n,TR020_28,TR020_17_28,-
TR020_17,TR020,n,TR020_29,TR020_17_29,-
TR023_10,TR023,n,TR023_15,TR023_10_15,-
TR023_10,TR023,n,TR023_16,TR023_10_16,-
TR023_10,TR023,n,TR023_8,TR023_8_10,-
TR023_6,TR023,n,TR023_4,TR023_4_6,-
TR023_6,TR023,n,TR023_9,TR023_6_9,=
TR024_5,TR024,p,TR024_2,TR024_2_5,-
TR024_5,TR024,p,TR024_10,TR024_5_10,-
TR024_5,TR024,p,TR024_11,TR024_5_11,-
TR024_5,TR024,p,TR024_9,TR024_5_9,-
TR025_10,TR025,n,TR025_16,TR025_10_16,-
TR025_10,TR025,n,TR025_17,TR025_10_17,-
TR025_10,TR025,n,TR025_4,TR025_4_10,-
TR029_1,TR029,n,TR029_2,TR029_1_2,-
TR029_1,TR029,n,TR029_3,TR029_1_3,=
TR029_1,TR029,n,TR029_4,TR029_1_4,-
TR030_10,TR030,n,TR030_13,TR030_10_13,-
TR030_10,TR030,n,TR030_6,TR030_6_10,=
TR030_20,TR030,n,TR030_16,TR030_16_20,-
TR030_20,TR030,n,TR030_25,TR030_20_25,-
TR030_20,TR030,n,TR030_52,TR030_20_52,-
TR030_24,TR030,n,TR030_19,TR030_19_24,-
TR030_24,TR030,n,TR030_26,TR030_24_26,=
TR030_26,TR030,n,TR030_24,TR030_24_26,=
TR030_26,TR030,n,TR030_29,TR030_26_29,-
TR030_35,TR030,n,TR030_32,TR030_32_35,-
TR030_35,TR030,n,TR030_39,TR030_35_39,-
TR030_35,TR030,n,TR030_62,TR030_35_62,-
TR030_6,TR030,n,TR030_4,TR030_4_6,-
TR030_6,TR030,n,TR030_10,TR030_6_10,=
TR031_3,TR031,n,TR031_2,TR031_2_3,-
TR031_3,TR031,n,TR031_19,TR031_3_19,-
TR031_3,TR031,n,TR031_5,TR031_3_5,-
TR031_4,TR031,n,TR031_2,TR031_2_4,-
TR031_4,TR031,n,TR031_20,TR031_4_20,-
TR031_4,TR031,n,TR031_9,TR031_4_9,-
TR032_2,TR032,n,TR032_1,TR032_1_2,-
TR032_2,TR032,n,TR032_3,TR032_2_3,-
TR032_2,TR032,n,TR032_4,TR032_2_4,-
TR032_3,TR032,p,TR032_2,TR032_2_3,-
TR032_3,TR032,p,TR032_5,TR032_3_5,-
TR032_3,TR032,p,TR032_6,TR032_3_6,-
TR032_3,TR032,p,TR032_7,TR032_3_7,-
TR032_5,TR032,n,TR032_3,TR032_3_5,-
TR032_5,TR032,n,TR032_19,TR032_5_19,-
TR032_5,TR032,n,TR032_9,TR032_5_9,-
TR033_2,TR033,p,TR033_1,TR033_1_2,-
TR033_2,TR033,p,TR033_3,TR033_2_3,-
TR033_2,TR033,p,TR033_4,TR033_2_4,-
TR033_2,TR033,p,TR033_5,TR033_2_5,-
TR034_7,TR034,n,TR034_6,TR034_6_7,-
TR034_7,TR034,n,TR034_14,TR034_7_14,-
TR034_7,TR034,n,TR034_17,TR034_7_17,-
TR034_8,TR034,n,TR034_5,TR034_5_8,-
TR034_8,TR034,n,TR034_12,TR034_8_12,=
TR034_8,TR034,n,TR034_13,TR034_8_13,-
TR034_9,TR034,n,TR034_1,TR034_1_9,-
TR034_9,TR034,n,TR034_10,TR034_9_10,=
TR034_9,TR034,n,TR034_11,TR034_9_11,-
TR036_10,TR036,n,TR036_16,TR036_10_16,-
TR036_10,TR036,n,TR036_17,TR036_10_17,-
TR036_10,TR036,n,TR036_5,TR036_5_10,-
TR039_9,TR039,n,TR039_5,TR039_5_9,-
TR039_9,TR039,n,TR039_11,TR039_9_11,-
TR039_9,TR039,n,TR039_15,TR039_9_15,-
TR041_10,TR041,n,TR041_7,TR041_7_10,#
TR041_9,TR041,n,TR041_8,TR041_8_9,#
TR045_2,TR045,n,TR045_1,TR045_1_2,-
TR045_2,TR045,n,TR045_18,TR045_2_18,-
TR045_2,TR045,n,TR045_6,TR045_2_6,-
TR045_9,TR045,n,TR045_6,TR045_6_9,-
TR045_9,TR045,n,TR045_13,TR045_9_13,-
TR045_9,TR045,n,TR045_21,TR045_9_21,-
TR046_10,TR046,n,TR046_7,TR046_7_10,=
TR046_10,TR046,n,TR046_8,TR046_8_10,-
TR046_2,TR046,n,TR046_1,TR046_1_2,-
TR046_2,TR046,n,TR046_12,TR046_2_12,-
TR046_2,TR046,n,TR046_13,TR046_2_13,-
TR047_14,TR047,n,TR047_12,TR047_12_14,-
TR047_14,TR047,n,TR047_24,TR047_14_24,-
TR047_14,TR047,n,TR047_25,TR047_14_25,-
TR047_15,TR047,n,TR047_13,TR047_13_15,-
TR047_15,TR047,n,TR047_26,TR047_15_26,-
TR047_15,TR047,n,TR047_27,TR047_15_27,-
