molecule_id,count
TR002,6
TR004,24
TR007,30
TR008,24
TR009,22
TR010,18
TR011,45
TR012,27
TR014,18
TR015,24
TR017,27
TR021,53
TR022,27
TR023,16
TR024,38
TR025,17
TR030,70
TR031,36
TR032,29
TR033,28
TR034,39
TR035,36
TR036,17
TR040,27
TR045,30
TR046,21
TR048,14
TR050,42
TR051,42
TR056,40
TR059,102
TR060,103
TR061,14
TR064,20
TR066,8
TR068,8
TR071,27
TR073,9
TR074,8
TR077,30
TR078,35
TR082,26
TR083,23
TR090,29
TR091,29
TR096,38
TR098,31
TR101,26
TR102,13
TR103,31
TR104,21
TR107,19
TR109,19
TR110,5
TR112,28
TR113,23
TR114,18
TR117,17
TR120,54
TR121,24
TR122,22
TR123,22
TR124,50
TR125,50
TR126,26
TR129,17
TR131,82
TR132,14
TR133,28
TR134,38
TR135,38
TR136,26
TR137,40
TR138,31
TR139,36
TR141,23
TR143,22
TR145,17
TR146,22
TR147,34
TR148,18
TR150,40
TR151,31
TR156,40
TR157,26
TR158,21
TR159,15
TR161,20
TR165,19
TR166,36
TR168,32
TR169,18
TR171,24
TR172,29
TR173,25
TR174,20
TR175,67
TR177,24
TR178,16
TR179,16
TR180,18
TR183,41
TR184,25
TR185,16
TR187,17
TR191,21
TR192,38
TR195,27
TR200,23
TR203,13
TR204,28
TR208,39
TR211,39
TR212,68
TR214,19
TR219,16
TR220,45
TR223,24
TR228,6
TR233,26
TR235,45
TR236,26
TR247,20
TR255,12
TR263,11
TR272,9
TR275,9
TR276,18
TR281,25
TR282,5
TR284,32
TR293,39
TR305,71
TR307,61
TR312,14
TR314,15
TR322,27
TR330,32
TR333,30
TR335,44
TR336,42
TR343,16
TR344,58
TR348,65
TR352,14
TR353,13
TR354,26
TR357,25
TR370,15
TR371,15
TR373,11
TR377,18
TR378,14
TR379,17
TR387,53
TR394,20
TR395,38
TR396,8
TR401,21
TR403,14
TR406,12
TR412,38
TR424,26
TR425,42
TR427,47
TR431,21
TR433,48
TR435,55
TR437,11
TR438,73
TR439,38
TR442,17
TR445,54
TR446,53
TR455,43
TR459,26
TR461,7
TR464,22
TR472,13
TR473,21
TR477,12
TR478,18
TR480,54
TR481,67
TR484,22
TR490,15
TR493,30
TR501,25
