id,artist,asciiName,availability,borderColor,cardKingdomFoilId,cardKingdomId,colorIdentity,colorIndicator,colors,convertedManaCost,duelDeck,edhrecRank,faceConvertedManaCost,faceName,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isOnlineOnly,isOversized,isPromo,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,layout,leadershipSkills,life,loyalty,manaCost,mcmId,mcmMetaId,mtgArenaId,mtgjsonV4Id,mtgoFoilId,mtgoId,multiverseId,name,number,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,purchaseUrls,rarity,scryfallId,scryfallIllustrationId,scryfallOracleId,setCode,side,subtypes,supertypes,tcgplayerProductId,text,toughness,type,types,uuid,variations,watermark
1143,Mark Tedin,,"mtgo,paper",borderless,236380.0,235993.0,,,,7.0,,1813.0,,,,,,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,"{'brawl': False, 'commander': False, 'oathbreaker': True}",,6,{7},482734.0,202655.0,,22d6e502-a668-5b56-9add-6bd441d3180c,,,491334.0,Karn Liberated,333,,"+4: Target player exiles a card from their hand.
−3: Exile target permanent.
−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.",Legendary Planeswalker — Karn,,,"2XM,MM2,NPH,PUMA,UMA","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/32ec66255c9f2ef3', 'cardKingdomFoil': 'https://mtgjson.com/links/b09afcd36ed6c66c', 'cardmarket': 'https://mtgjson.com/links/8a01e560033a957a', 'tcgplayer': 'https://mtgjson.com/links/8a41d883e15cb3c3'}",mythic,96d1a254-01a8-4590-8878-690c5bfb4a95,3242441c-0814-4cfd-833a-c296e6ed1655,0ca233f4-1b7f-4807-ab6e-2b1f5439b3db,2XM,,Karn,Legendary,218280.0,"[+4]: Target player exiles a card from their hand.
[−3]: Exile target permanent.
[−14]: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.",,Legendary Planeswalker — Karn,Planeswalker,511dc2ac-7185-5b74-99d4-1cb44a61ba02,fc5dff7e-489f-5a42-bf3f-926985aaef4a,
1144,Jason Chan,,"mtgo,paper",borderless,236381.0,235994.0,U,,U,4.0,,984.0,,,,,,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,"{'brawl': False, 'commander': False, 'oathbreaker': True}",,3,{2}{U}{U},482694.0,10956.0,,f293abe4-ef77-53d0-8492-034e7ef5c968,,,491335.0,"Jace, the Mind Sculptor",334,,"+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library.
0: Draw three cards, then put two cards from your hand on top of your library in any order.
−1: Return target creature to its owner's hand.
",Legendary Planeswalker — Jace,,,"2XM,A25,EMA,MED,V13,VMA,WWK","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/13fbca59d51de7c4', 'cardKingdomFoil': 'https://mtgjson.com/links/8f936e288439a6f0', 'cardmarket': 'https://mtgjson.com/links/fe63ce8718dab107', 'tcgplayer': 'https://mtgjson.com/links/0343e4720d6d8048'}",mythic,ec386bc3-137b-49b5-8380-8daff470f0bc,b0ab416a-c7a8-4531-8e6a-00a167db4f76,7f77a84e-5a4b-4834-aefa-3cecc175ae8e,2XM,,Jace,Legendary,218278.0,"[+2]: Look at the top card of target player's library. You may put that card on the bottom of that player's library.
[0]: Draw three cards, then put two cards from your hand on top of your library in any order.
[−1]: Return target creature to its owner's ",,Legendary Planeswalker — Jace,Planeswalker,516dd7a4-fad8-5eed-bcdb-c05088762303,896a92b1-ed29-5daf-bf89-2502224f8f11,
1145,Randy Vargas,,"mtgo,paper",borderless,236409.0,236163.0,W,,W,8.0,,533.0,,,,Avacyn lives on in the hearts and minds of Innistrad's people.,legendary,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,"Flying,Indestructible,Vigilance",normal,"{'brawl': False, 'commander': True, 'oathbreaker': False}",,,{5}{W}{W}{W},485984.0,205293.0,,314f1ddc-1259-5564-b79c-bcc9f948f761,,,491344.0,"Avacyn, Angel of Hope",335,,"Flying, vigilance, indestructible
Other permanents you control have indestructible.",Legendary Creature — Angel,,8,"2XM,AVR,IMA,J17,PHEL,PRM,V15","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/c098fa694a28cbe6', 'cardKingdomFoil': 'https://mtgjson.com/links/50d82908590e8069', 'cardmarket': 'https://mtgjson.com/links/92d6117898e7b308', 'tcgplayer': 'https://mtgjson.com/links/d37bce212eb9ec0e'}",mythic,db149aaa-3da9-48c4-92cc-b3d804285290,792db9d2-f72f-401e-8bce-28370b9c7e04,216cb26e-8da9-478b-bfbc-8030f7adee72,2XM,,Angel,Legendary,218872.0,"Flying, vigilance, indestructible
Other permanents you control have indestructible.",8,Legendary Creature — Angel,Creature,9bf9c63a-0fe5-5bb2-9cef-32cc94c3aa29,2818f287-8403-5217-9a59-c11af2ab77e1,
1146,Jeff Simpson,,"mtgo,paper",borderless,236393.0,236033.0,W,,W,3.0,,2215.0,,,,"""Our ruling is final.""",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,Will of the council,normal,,,,{1}{W}{W},483954.0,209836.0,,177a944e-bc52-5f51-a15c-852752562207,,,491345.0,Council's Judgment,336,,"Will of the council — Starting with you, each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.",Sorcery,,,"2XM,CNS,PLIST,VMA","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/249faf0138fd4cc5', 'cardKingdomFoil': 'https://mtgjson.com/links/cedc3edb7d922fc8', 'cardmarket': 'https://mtgjson.com/links/a783a8a6255e244c', 'tcgplayer': 'https://mtgjson.com/links/9b9a0536395e9901'}",rare,32301593-f16a-4a46-8a4e-eecedd2a9013,a0ed7773-ae83-492c-9564-cf601eb6db4b,acf4d685-a718-42f7-9a7a-dee069ae8db2,2XM,,,,218451.0,"Will of the council — Starting with you, each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.",,Sorcery,Sorcery,0df712a3-ef9f-5873-8693-50229c2bcf9f,1455b16b-e445-5117-99ce-be8bb0d68154,
1147,Dan Dos Santos,,"mtgo,paper",borderless,236407.0,236158.0,W,,W,2.0,,807.0,,,,,,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{1}{W},485954.0,11016.0,,1b0db5fc-eeaf-50ab-ab80-55126001e926,,,491346.0,Stoneforge Mystic,337,,"When Stoneforge Mystic enters the battlefield, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle your library.
{1}{W}, {T}: You may put an Equipment card from your hand onto the battlefield.",Creature — Kor Artificer,,1,"2XM,J16,PGPX,PRM,TD0,WWK","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/54b14912a644a10c', 'cardKingdomFoil': 'https://mtgjson.com/links/1b471d3851772396', 'cardmarket': 'https://mtgjson.com/links/2dec53a2f70f9741', 'tcgplayer': 'https://mtgjson.com/links/15156831864001c2'}",rare,eb49805c-8546-463d-b78c-f4ea109851b4,8586a60e-4933-43d4-9bbe-cbf5b445dd68,358789f9-7d87-411d-919e-d597da665cbd,2XM,,"Kor,Artificer",,218862.0,"When Stoneforge Mystic enters the battlefield, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle your library.
{1}{W}, {T}: You may put an Equipment card from your hand onto the battlefield.",2,Creature — Kor Artificer,Creature,bfbb2163-e383-5446-b171-e99916050a31,bb5cedfe-72ac-5788-b453-75ddfa96c44f,
1148,Ron Spencer,,"mtgo,paper",borderless,236400.0,236040.0,U,,U,1.0,,34.0,,,,"""In all my years of research, I have yet to accurately quantify that baffling mental process known as 'inspiration.'""
—Elmora, mage-analyst",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{U},485904.0,677.0,,f3753936-7f8f-5b34-9ddf-54a87be72659,,,491347.0,Brainstorm,338,,"Draw three cards, then put two cards from your hand on top of your library in any order.",Instant,,,"2XM,5ED,A25,BTD,C15,C18,CMD,CNS,CST,DDJ,EMA,F04,ICE,MB1,ME2,MMQ,OLGC,PLIST,PRM,PZ1,SS1,VMA,WC00","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/68ef1b9bf4a2149f', 'cardKingdomFoil': 'https://mtgjson.com/links/ca0a21829ec42e6c', 'cardmarket': 'https://mtgjson.com/links/f27ac3e0cbae8cf7', 'tcgplayer': 'https://mtgjson.com/links/5fb39d1829dc1efc'}",rare,dd595e2f-65e4-46e8-9d28-f94ac308b275,98510795-cc38-447b-b21f-510bf43fa22a,36cd2364-d113-47d1-b2c4-b088d9eb88dd,2XM,,,,218845.0,"Draw three cards, then put two cards from your hand on top of your library in any order.",,Instant,Instant,baa76f04-4212-5aa5-a5cc-9b0810add79a,64329194-cb04-530b-9763-6c331596a1ad,
1149,Chuck Lukacs,,"mtgo,paper",borderless,236389.0,236029.0,U,,U,2.0,,18.0,,,,"""Oh, *that's* what that switch does!""",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,Overload,normal,,,,{1}{U},482864.0,206487.0,,2e0a8324-381a-5084-9f73-4b27ae8abccb,,,491348.0,Cyclonic Rift,339,,"Return target nonland permanent you don't control to its owner's hand.
Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")",Instant,,,"2XM,C14,MM3,RTR","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/2a9d310b1dea57b5', 'cardKingdomFoil': 'https://mtgjson.com/links/dc618e38644ad6de', 'cardmarket': 'https://mtgjson.com/links/32ee9d23c42d507a', 'tcgplayer': 'https://mtgjson.com/links/fa99fd9ed69affb5'}",rare,f9baef6e-a086-41d4-a20e-486f01d72406,f53680af-3992-4bfb-a9a2-ea854cc60ffc,d75b9c82-1b49-4c3e-a1b5-aeef57d6644b,2XM,,,,218371.0,"Return target nonland permanent you don't control to its owner's hand.
Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")",,Instant,Instant,00217f81-e16f-5f98-afd3-43160585826a,1017ece8-fc06-528b-b6ca-f204d3acf75e,
1150,Scott M. Fischer,,"mtgo,paper",borderless,236397.0,236037.0,U,,U,5.0,,169.0,,,,"""Amateur.""",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{3}{U}{U},484374.0,2168.0,,584d4121-0ede-5719-b82a-06da5b4fb773,,,491349.0,Force of Will,340,,"You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost.
Counter target spell.",Instant,,,"2XM,ALL,EMA,J14,ME1,MP2,OLGC,PRM,VMA,WC97","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/8aa2cd07efd050f6', 'cardKingdomFoil': 'https://mtgjson.com/links/aae5ec5819bd00bb', 'cardmarket': 'https://mtgjson.com/links/691bd414a08724da', 'tcgplayer': 'https://mtgjson.com/links/e0bb4a36c216b583'}",mythic,ec136ce7-bad4-4ebb-ab00-b86de3d209a7,275ece84-76f7-49ca-b829-586ee269b352,956381ba-6d37-4a8a-846c-bad79222dbee,2XM,,,,218702.0,"You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost.
Counter target spell.",,Instant,Instant,9b764b1d-5130-5084-bba8-e5c866fd9c2f,65ba05d3-76c2-54e1-bfcb-c12c6fead81f,
1151,Thomas M. Baxa,,"mtgo,paper",borderless,236401.0,236089.0,U,,U,4.0,,417.0,,,,,,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{3}{U/P},484274.0,202642.0,,b4a9d83b-12bc-5832-ace3-c6f07dad9c5a,,,491350.0,Phyrexian Metamorph,341,,"({PU} can be paid with either {U} or 2 life.)
You may have Phyrexian Metamorph enter the battlefield as a copy of any artifact or creature on the battlefield, except it's an artifact in addition to its other types.",Artifact Creature — Shapeshifter,,0,"2XM,MB1,NPH,PNPH,PRM","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/091e57fd1765b5b1', 'cardKingdomFoil': 'https://mtgjson.com/links/d0a0be87e16236b6', 'cardmarket': 'https://mtgjson.com/links/63a6a62e00b19d4c', 'tcgplayer': 'https://mtgjson.com/links/ffa45c0ff540250b'}",rare,cacaf5ec-6745-4584-9175-36c98742958f,61129563-bf34-4391-8115-89617d5d0ed3,340bbe8b-e987-4c3e-ab4e-9dee63e57d4f,2XM,,Shapeshifter,,218607.0,"({U/P} can be paid with either {U} or 2 life.)
You may have Phyrexian Metamorph enter the battlefield as a copy of any artifact or creature on the battlefield, except it's an artifact in addition to its other types.",0,Artifact Creature — Shapeshifter,"Artifact,Creature",1ca5702b-74db-514d-be83-d0ea017c17a5,0381e84a-634b-5b34-a4f5-bc314306344a,
1152,Mark Zug,,"mtgo,paper",borderless,236390.0,236030.0,B,,B,2.0,,644.0,,,,"Greatness, at any cost.",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{1}{B},483919.0,7926.0,,9b043585-a6e9-5242-adca-8eafe14f0309,,,491351.0,Dark Confidant,342,,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost.",Creature — Human Wizard,,2,"2XM,G11,MM2,MMA,RAV","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/62392991ac2c1f0c', 'cardKingdomFoil': 'https://mtgjson.com/links/da219518dab869e7', 'cardmarket': 'https://mtgjson.com/links/510cd3f6c3939457', 'tcgplayer': 'https://mtgjson.com/links/46bedc223f6c7fe5'}",mythic,6c821158-f71a-48f9-b6b4-b0e605f22bec,02ecf0f0-113c-47aa-87a5-38867ded2562,2068185c-1b50-47d0-aa3f-bf505d199428,2XM,,"Human,Wizard",,218386.0,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost.",1,Creature — Human Wizard,Creature,65e2b37a-2b3a-5aaf-b1b1-0e699e3fcf63,300725c7-140d-589d-a14f-d40f9ec5b63b,
