customer_id,gender,age,payment_method
C196845,Male,24.0,Cash
C220180,Male,23.0,Credit Card
C276887,Male,68.0,Credit Card
C317818,Female,19.0,Credit Card
C317478,Female,41.0,Cash
C237330,Female,53.0,Credit Card
C258404,Male,67.0,Cash
C542025,Male,60.0,Credit Card
C992677,Male,65.0,Debit Card
C324683,Male,55.0,Credit Card
C112750,Female,32.0,Credit Card
C223343,Female,31.0,Credit Card
C978718,Male,37.0,Cash
C244213,Male,34.0,Debit Card
C162371,Female,53.0,Debit Card
C584141,Female,31.0,Cash
C161285,Female,20.0,Credit Card
C558480,Female,56.0,Credit Card
C581947,Male,46.0,Cash
C281268,Female,29.0,Debit Card
C826744,Female,44.0,Credit Card
C109489,Male,23.0,Credit Card
C269751,Female,48.0,Cash
C266462,Male,27.0,Cash
C267961,Female,53.0,Cash
C986860,Male,39.0,Credit Card
C278588,Female,35.0,Debit Card
C259539,Female,54.0,Credit Card
C567509,Female,50.0,Cash
C486241,Female,21.0,Cash
C306892,Male,21.0,Cash
C317897,Male,30.0,Credit Card
C222906,Female,45.0,Debit Card
C167183,Female,54.0,Credit Card
C107261,Female,63.0,Credit Card
C291911,Female,53.0,Credit Card
C134691,Female,50.0,Cash
C387164,Female,29.0,Debit Card
C284031,Male,29.0,Cash
C109593,Female,66.0,Cash
C299172,Male,56.0,Cash
C289802,Female,54.0,Credit Card
C210614,Female,42.0,Debit Card
C209122,Female,56.0,Credit Card
C218295,Female,61.0,Debit Card
C703073,Female,43.0,Credit Card
C282107,Female,36.0,Credit Card
C229670,Male,22.0,Cash
C339339,Male,34.0,Credit Card
C321993,Female,49.0,Credit Card
C292758,Male,47.0,Credit Card
C858536,Female,65.0,Credit Card
C162986,Male,21.0,Credit Card
C128618,Female,35.0,Cash
C331127,Male,32.0,Cash
C113739,Male,38.0,Cash
C297610,Female,32.0,Cash
C319935,Male,48.0,Cash
C322689,Female,29.0,Cash
C272419,Female,62.0,Credit Card
C264687,Female,52.0,Credit Card
C200317,Female,19.0,Credit Card
C303444,Female,51.0,Debit Card
C267843,Male,58.0,Debit Card
C235482,Female,54.0,Credit Card
C690345,Female,42.0,Cash
C114606,Female,34.0,Debit Card
C884264,Male,60.0,Credit Card
C136585,Female,52.0,Cash
C230543,Male,30.0,Debit Card
C158968,Female,47.0,Credit Card
C144823,Female,20.0,Debit Card
C149637,Female,52.0,Cash
C766767,Male,67.0,Cash
C322195,Male,54.0,Debit Card
C300832,Male,37.0,Credit Card
C812425,Female,53.0,Cash
C249725,Female,62.0,Credit Card
C105474,Female,55.0,Credit Card
C870412,Female,24.0,Debit Card
C289614,Male,31.0,Cash
C108756,Female,45.0,Credit Card
C462416,Female,63.0,Credit Card
C832010,Female,59.0,Debit Card
C981925,Male,51.0,Debit Card
C237757,Male,44.0,Credit Card
C179915,Male,40.0,Debit Card
C261316,Male,32.0,Cash
C184322,Female,61.0,Cash
C211763,Male,63.0,Cash
C158827,Female,50.0,Credit Card
C293612,Female,60.0,Debit Card
C316806,Male,64.0,Cash
C289650,Female,36.0,Debit Card
C230619,Male,64.0,Cash
C296318,Male,49.0,Cash
C993876,Female,38.0,Debit Card
C120118,Male,55.0,Credit Card
C310676,Female,59.0,Debit Card
C845711,Female,34.0,Credit Card
C709824,Female,68.0,Debit Card
C162162,Male,30.0,Cash
C295880,Female,50.0,Cash
C245681,Female,42.0,Credit Card
C750093,Male,34.0,Cash
C187110,Female,27.0,Debit Card
C197522,Male,39.0,Credit Card
C128660,Female,45.0,Credit Card
C334601,Female,26.0,Cash
C295466,Male,55.0,Cash
C382952,Male,18.0,Credit Card
C313275,Female,34.0,Cash
C892096,Male,24.0,Cash
C119219,Female,68.0,Credit Card
C273853,Female,62.0,Debit Card
C198161,Female,68.0,Credit Card
C131842,Female,31.0,Debit Card
C136014,Male,49.0,Cash
C283350,Female,29.0,Credit Card
C125296,Female,41.0,Cash
C170508,Female,21.0,Cash
C894269,Female,69.0,Debit Card
C625736,Female,18.0,Credit Card
C144276,Female,66.0,Credit Card
C125800,Female,41.0,Debit Card
C115898,Male,26.0,Cash
C210240,Female,69.0,Credit Card
C105764,Male,67.0,Cash
C143430,Female,42.0,Debit Card
C306089,Female,43.0,Cash
C886153,Female,32.0,Credit Card
C240135,Female,34.0,Cash
C187422,Female,69.0,Cash
C488263,Female,64.0,Cash
C134039,Female,69.0,Credit Card
C828402,Male,64.0,Cash
C225949,Female,28.0,Cash
C243451,Female,36.0,Cash
C353540,Male,20.0,Cash
C572091,Female,38.0,Cash
C289260,Female,36.0,Debit Card
C268455,Female,64.0,Debit Card
C279559,Female,23.0,Credit Card
C422499,Male,39.0,Cash
C311887,Female,35.0,Cash
C143471,Male,39.0,Debit Card
C661696,Female,53.0,Cash
C203624,Male,24.0,Cash
C238146,Male,55.0,Credit Card
C325757,Female,61.0,Cash
C176604,Female,39.0,Cash
C272792,Female,29.0,Cash
C233646,Female,50.0,Cash
C246959,Female,54.0,Cash
C198062,Male,36.0,Cash
C297260,Male,31.0,Credit Card
C952467,Female,37.0,Cash
C578468,Female,22.0,Cash
C336809,Female,61.0,Cash
C117351,Female,69.0,Cash
C318000,Male,42.0,Credit Card
C211689,Female,44.0,Debit Card
C311661,Female,54.0,Cash
C632239,Female,27.0,Cash
C113670,Male,28.0,Debit Card
C205210,Female,60.0,Debit Card
C151884,Female,56.0,Credit Card
C143091,Male,29.0,Cash
C262982,Female,37.0,Cash
C241260,Female,49.0,Debit Card
C192403,Female,29.0,Credit Card
C173979,Male,39.0,Credit Card
C116013,Female,22.0,Cash
C876606,Female,59.0,Cash
C231125,Female,51.0,Credit Card
C155210,Male,18.0,Cash
C308224,Female,36.0,Cash
C561708,Male,55.0,Debit Card
C173996,Female,59.0,Cash
C140031,Male,32.0,Cash
C262657,Female,69.0,Credit Card
C295545,Female,64.0,Credit Card
C248081,Female,23.0,Credit Card
C184011,Male,26.0,Credit Card
C140342,Female,68.0,Credit Card
C958378,Female,55.0,Debit Card
C274639,Female,69.0,Cash
C370083,Male,68.0,Credit Card
C208335,Male,22.0,Credit Card
C314543,Male,29.0,Credit Card
C496957,Male,48.0,Credit Card
C226901,Male,52.0,Cash
C525444,Female,36.0,Credit Card
C323715,Male,53.0,Credit Card
C216402,Female,28.0,Debit Card
C157231,Female,64.0,Credit Card
C644501,Female,45.0,Cash
C226800,Female,65.0,Credit Card
C120670,Female,58.0,Cash
C472457,Male,39.0,Credit Card
C137694,Male,53.0,Cash
C851697,Female,39.0,Credit Card
C259650,Male,54.0,Cash
C277636,Female,18.0,Cash
C197871,Female,42.0,Debit Card
C306867,Male,68.0,Cash
C214743,Male,67.0,Cash
C335983,Male,20.0,Cash
C309927,Male,30.0,Credit Card
C164736,Female,41.0,Cash
C193427,Female,39.0,Credit Card
C261459,Male,33.0,Debit Card
C332667,Female,66.0,Debit Card
C241345,Female,40.0,Credit Card
C151925,Female,18.0,Credit Card
C535096,Female,49.0,Credit Card
C219995,Female,30.0,Debit Card
C623628,Female,35.0,Cash
C963729,Female,48.0,Debit Card
C202744,Female,51.0,Cash
C163301,Male,29.0,Credit Card
C654762,Female,54.0,Debit Card
C135162,Female,49.0,Debit Card
C114698,Female,24.0,Credit Card
C865866,Male,18.0,Cash
C599749,Female,49.0,Cash
C252500,Male,65.0,Cash
C194270,Male,33.0,Cash
C330263,Female,40.0,Debit Card
C318751,Male,47.0,Credit Card
C176551,Female,27.0,Credit Card
C968038,Female,60.0,Debit Card
C184299,Female,41.0,Credit Card
C696396,Female,42.0,Debit Card
C208165,Male,48.0,Credit Card
C110520,Female,23.0,Credit Card
C640694,Female,42.0,Credit Card
C759854,Female,38.0,Cash
C934207,Female,58.0,Cash
C296532,Male,37.0,Credit Card
C162352,Female,43.0,Cash
C228581,Male,54.0,Cash
C247391,Female,31.0,Credit Card
C883222,Female,30.0,Credit Card
C137037,Male,24.0,Cash
C202302,Male,55.0,Credit Card
C225310,Female,40.0,Credit Card
C217169,Female,33.0,Credit Card
C227568,Female,68.0,Credit Card
C176047,Male,23.0,Credit Card
C115193,Male,57.0,Cash
C297518,Female,24.0,Debit Card
C827434,Male,65.0,Cash
C129645,Female,59.0,Credit Card
C182431,Female,20.0,Cash
