invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I992454,C196845,Toys,4,143.36,07-03-2023,Cevahir AVM
I183746,C220180,Clothing,1,300.08,15-02-2023,Emaar Square Mall
I339732,C276887,Food & Beverage,1,5.23,04-01-2023,Emaar Square Mall
I267193,C317818,Cosmetics,3,121.98,12-01-2023,Mall of Istanbul
I202367,C317478,Books,3,45.45,24-02-2023,Istinye Park
I664787,C237330,Cosmetics,2,81.32,12-01-2023,Istinye Park
I260525,C258404,Toys,3,107.52,07-01-2023,Emaar Square Mall
I321683,C542025,Cosmetics,4,162.64,06-01-2023,Metrocity
I195567,C992677,Clothing,4,1200.32,22-01-2023,Metropol AVM
I985478,C324683,Clothing,4,1200.32,24-01-2023,Kanyon
I134452,C112750,Clothing,1,300.08,15-01-2023,Forum Istanbul
I215279,C223343,Clothing,2,600.16,01-02-2023,Kanyon
I222086,C978718,Clothing,5,1500.4,09-02-2023,Emaar Square Mall
I170160,C244213,Toys,2,71.68,26-02-2023,Metrocity
I278401,C162371,Toys,1,35.84,31-01-2023,Mall of Istanbul
I198233,C584141,Cosmetics,4,162.64,13-02-2023,Metropol AVM
I156233,C161285,Clothing,1,300.08,11-01-2023,Mall of Istanbul
I504141,C558480,Cosmetics,1,40.66,23-02-2023,Kanyon
I525798,C581947,Cosmetics,4,162.64,03-02-2023,Mall of Istanbul
I198698,C281268,Clothing,1,300.08,15-01-2023,Metropol AVM
I428118,C826744,Shoes,2,1200.34,12-01-2023,Kanyon
I239703,C109489,Food & Beverage,3,15.69,17-01-2023,Kanyon
I216982,C269751,Souvenir,4,46.92,02-01-2023,Metrocity
I115679,C266462,Clothing,1,300.08,10-01-2023,Kanyon
I940840,C267961,Cosmetics,2,81.32,19-02-2023,Istinye Park
I305432,C986860,Toys,3,107.52,26-01-2023,Mall of Istanbul
I119142,C278588,Cosmetics,5,203.3,25-01-2023,Cevahir AVM
I908600,C259539,Cosmetics,4,162.64,23-02-2023,Forum Istanbul
I337094,C567509,Technology,1,1050.0,09-02-2023,Zorlu Center
I436935,C486241,Cosmetics,4,162.64,26-02-2023,Istinye Park
I585560,C306892,Shoes,2,1200.34,17-02-2023,Mall of Istanbul
I304567,C317897,Souvenir,2,23.46,08-03-2023,Forum Istanbul
I289611,C222906,Clothing,3,900.24,08-03-2023,Cevahir AVM
I258204,C167183,Clothing,1,300.08,03-02-2023,Emaar Square Mall
I264491,C107261,Cosmetics,5,203.3,13-02-2023,Metropol AVM
I941223,C291911,Clothing,5,1500.4,03-02-2023,Emaar Square Mall
I846943,C134691,Cosmetics,4,162.64,06-01-2023,Mall of Istanbul
I946433,C387164,Technology,4,4200.0,02-02-2023,Kanyon
I721903,C284031,Food & Beverage,2,10.46,09-01-2023,Mall of Istanbul
I423124,C109593,Clothing,1,300.08,07-01-2023,Metrocity
I208491,C299172,Clothing,1,300.08,18-01-2023,Kanyon
I873382,C289802,Shoes,4,2400.68,07-01-2023,Metrocity
I283774,C210614,Toys,1,35.84,01-01-2023,Istinye Park
I291062,C209122,Cosmetics,4,162.64,05-03-2023,Kanyon
I648743,C218295,Shoes,5,3000.85,02-01-2023,Mall of Istanbul
I254341,C703073,Food & Beverage,2,10.46,21-01-2023,Metropol AVM
I300520,C282107,Books,3,45.45,02-02-2023,Metrocity
I936118,C229670,Food & Beverage,3,15.69,19-02-2023,Istinye Park
I230701,C339339,Clothing,2,600.16,19-02-2023,Emaar Square Mall
I230983,C321993,Clothing,1,300.08,02-03-2023,Kanyon
I117277,C292758,Clothing,1,300.08,11-01-2023,Istinye Park
I158486,C858536,Food & Beverage,3,15.69,10-02-2023,Istinye Park
I325555,C162986,Technology,4,4200.0,30-01-2023,Metrocity
I194268,C128618,Souvenir,5,58.65,26-02-2023,Metropol AVM
I205336,C331127,Cosmetics,1,40.66,01-02-2023,Istinye Park
I231029,C113739,Clothing,4,1200.32,18-01-2023,Istinye Park
I193148,C297610,Clothing,4,1200.32,11-02-2023,Cevahir AVM
I318625,C319935,Technology,5,5250.0,26-02-2023,Zorlu Center
I610847,C322689,Clothing,4,1200.32,06-02-2023,Metrocity
I145917,C272419,Cosmetics,5,203.3,01-02-2023,Forum Istanbul
I173288,C264687,Food & Beverage,5,26.15,25-01-2023,Metrocity
I174942,C200317,Clothing,3,900.24,23-01-2023,Kanyon
I466698,C303444,Shoes,3,1800.51,24-02-2023,Kanyon
I131869,C267843,Food & Beverage,1,5.23,29-01-2023,Kanyon
I165583,C235482,Clothing,1,300.08,08-02-2023,Metrocity
I187453,C690345,Shoes,3,1800.51,29-01-2023,Metrocity
I929854,C114606,Shoes,1,600.17,04-01-2023,Metropol AVM
I338411,C884264,Books,5,75.75,17-01-2023,Mall of Istanbul
I218234,C136585,Toys,3,107.52,28-02-2023,Forum Istanbul
I268823,C230543,Clothing,1,300.08,08-02-2023,Istinye Park
I256639,C158968,Cosmetics,4,162.64,05-03-2023,Kanyon
I140825,C144823,Cosmetics,2,81.32,04-02-2023,Kanyon
I198156,C149637,Food & Beverage,4,20.92,26-02-2023,Metropol AVM
I186033,C766767,Books,5,75.75,12-01-2023,Kanyon
I307337,C322195,Shoes,3,1800.51,25-02-2023,Metropol AVM
I910927,C300832,Clothing,3,900.24,16-01-2023,Kanyon
I240283,C812425,Shoes,4,2400.68,10-01-2023,Metropol AVM
I788206,C249725,Cosmetics,2,81.32,21-02-2023,Istinye Park
I262240,C105474,Cosmetics,1,40.66,15-01-2023,Mall of Istanbul
I846448,C870412,Cosmetics,1,40.66,24-02-2023,Emaar Square Mall
I701994,C289614,Food & Beverage,1,5.23,09-02-2023,Forum Istanbul
I334498,C108756,Cosmetics,3,121.98,27-01-2023,Istinye Park
I176867,C462416,Clothing,2,600.16,13-02-2023,Metrocity
I249846,C832010,Food & Beverage,2,10.46,17-02-2023,Kanyon
I255430,C981925,Cosmetics,3,121.98,13-02-2023,Mall of Istanbul
I165932,C237757,Cosmetics,3,121.98,04-03-2023,Cevahir AVM
I177444,C179915,Clothing,3,900.24,09-01-2023,Emaar Square Mall
I144412,C261316,Cosmetics,1,40.66,07-03-2023,Metrocity
I215044,C184322,Cosmetics,1,40.66,19-01-2023,Forum Istanbul
I752293,C211763,Clothing,4,1200.32,02-03-2023,Zorlu Center
I306370,C158827,Shoes,4,2400.68,19-01-2023,Metrocity
I145120,C293612,Clothing,4,1200.32,04-02-2023,Metrocity
I304606,C316806,Clothing,4,1200.32,07-03-2023,Metrocity
I174237,C289650,Cosmetics,1,40.66,12-02-2023,Emaar Square Mall
I231403,C230619,Cosmetics,5,203.3,06-02-2023,Mall of Istanbul
I317840,C296318,Clothing,2,600.16,10-02-2023,Kanyon
I288734,C993876,Clothing,4,1200.32,07-03-2023,Kanyon
I980023,C120118,Cosmetics,5,203.3,20-01-2023,Metrocity
I245816,C310676,Clothing,5,1500.4,19-01-2023,Emaar Square Mall
I317125,C845711,Books,2,30.3,30-01-2023,Kanyon
I145770,C709824,Technology,4,4200.0,06-01-2023,Emaar Square Mall
I364470,C162162,Shoes,2,1200.34,24-01-2023,Istinye Park
I637087,C295880,Clothing,5,1500.4,12-02-2023,Kanyon
I335650,C245681,Clothing,5,1500.4,30-01-2023,Mall of Istanbul
I296120,C750093,Clothing,2,600.16,10-02-2023,Metrocity
I227528,C187110,Clothing,4,1200.32,17-01-2023,Istinye Park
I289344,C197522,Cosmetics,4,162.64,17-01-2023,Emaar Square Mall
I228840,C128660,Clothing,2,600.16,05-03-2023,Kanyon
I133290,C334601,Clothing,5,1500.4,08-01-2023,Metrocity
I340342,C295466,Food & Beverage,1,5.23,04-03-2023,Metrocity
I421240,C382952,Souvenir,2,23.46,28-01-2023,Istinye Park
I132312,C313275,Souvenir,5,58.65,14-01-2023,Kanyon
I392560,C892096,Cosmetics,3,121.98,22-02-2023,Metropol AVM
I301174,C119219,Shoes,2,1200.34,15-01-2023,Metrocity
I227236,C273853,Shoes,3,1800.51,18-02-2023,Mall of Istanbul
I329009,C198161,Cosmetics,4,162.64,20-02-2023,Mall of Istanbul
I133527,C131842,Food & Beverage,1,5.23,12-01-2023,Mall of Istanbul
I280717,C136014,Cosmetics,1,40.66,18-01-2023,Metropol AVM
I157192,C283350,Cosmetics,5,203.3,24-01-2023,Mall of Istanbul
I101731,C125296,Books,3,45.45,23-01-2023,Mall of Istanbul
I135796,C170508,Cosmetics,2,81.32,03-03-2023,Kanyon
I716275,C894269,Shoes,4,2400.68,19-01-2023,Metropol AVM
I240580,C625736,Books,4,60.6,02-01-2023,Kanyon
I339346,C144276,Food & Beverage,5,26.15,13-01-2023,Mall of Istanbul
I284344,C125800,Food & Beverage,5,26.15,05-01-2023,Mall of Istanbul
I857171,C115898,Shoes,2,1200.34,12-02-2023,Emaar Square Mall
I201709,C210240,Souvenir,5,58.65,02-03-2023,Mall of Istanbul
I868553,C105764,Souvenir,2,23.46,16-02-2023,Emaar Square Mall
I254673,C143430,Cosmetics,2,81.32,18-02-2023,Kanyon
I255301,C306089,Clothing,5,1500.4,21-02-2023,Metropol AVM
I844405,C886153,Clothing,2,600.16,06-02-2023,Metropol AVM
I304830,C240135,Clothing,1,300.08,08-03-2023,Kanyon
I128667,C187422,Clothing,2,600.16,08-01-2023,Metropol AVM
I108567,C488263,Clothing,1,300.08,29-01-2023,Metrocity
