,Africa,Asia-Pacific Developed,Eastern Asia,Eurasia,Europe,Latin America and Caribbean,Middle East,North America,South-East Asia and developing Pacific,Southern Asia,EU27,GLOBAL TOTAL
1990,-2511.1168280714,-492.73476711813,-621.02045657829,-1796.7723547663,-613.64880153343,-2057.4396283082,-12.080970368558,-1553.7016403748,802.22099533209,1130.7860924734,-444.32058840179,-7725.5083593136
1991,-2271.7925386446,-494.13513568318,-629.30726507527,-1793.8492442746,-735.99869687165,-2008.874141989,-11.116858873754,-1588.6782069956,794.09620437498,1170.0902929633,-563.40683727082,-7569.5655910693
1992,-2175.0600978306,-494.03609970437,-639.10504300837,-1792.0648445319,-729.17196103895,-2062.0439166747,-11.07473372007,-1586.3819610007,788.61501723053,1182.1935572914,-559.05228797503,-7518.1300829876
1993,-2071.792272655,-493.6136946059,-646.08097639362,-1920.0949505545,-738.98036781223,-2041.0031068442,-10.659438009743,-1599.162137669,728.13017492076,1196.7604761657,-568.36505409076,-7596.4962934578
1994,-1962.6071114428,-491.55685159983,-661.75253657875,-2065.0620517895,-693.81698208493,-1962.1165508135,-10.481207260271,-1580.5155624261,685.844306175,1205.9342827401,-518.73550541132,-7536.1302650806
1995,-1860.5159547606,-487.76022836965,-661.27330514752,-2057.2314928199,-654.7923209554,-1899.3055194068,-10.229825075486,-1576.393173556,658.66196615609,1212.0317371003,-485.83255736974,-7336.808116835
1996,-1811.6045879458,-489.14517904523,-657.44294244996,-2085.1469446512,-675.0420189109,-1869.0126196797,-10.181059702063,-1592.6165655973,635.26661217624,1186.6221303496,-502.68483204012,-7368.3031754563
1997,-1763.1471348096,-483.89681406884,-667.35553330565,-1996.2347027255,-635.89240018465,-1821.0359191888,-9.7557557393391,-1584.7731182133,627.34576704136,1181.0995599499,-469.79130505543,-7153.6460512444
1998,-1727.6369586723,-487.75623610831,-670.84850301059,-2042.4142702899,-632.95907047171,-1762.7581164221,-9.91091238197,-1596.1598813484,612.13285993745,1191.5393005723,-471.68747185049,-7126.7717881954
1999,-1681.4609762427,-481.41277117878,-683.15430114294,-1990.5644196663,-616.0604522148,-1693.3347178545,-10.020447161324,-1566.2930484292,608.20631187003,1202.8812312201,-449.99358856868,-6911.2135908003
2000,-1605.0431237314,-470.90455612922,-696.65955063255,-1961.5670272549,-544.17673394555,-1642.328713643,-9.9040990489331,-1559.3419368233,599.55010445764,1204.619919805,-390.23229693687,-6685.7557169462
2001,-1548.9622658588,-471.91438913609,-708.17732707628,-1946.9876900082,-595.06514043485,-1668.6126716519,-9.8516161125115,-1638.9698468792,549.46821609861,1214.7401441188,-433.10104579301,-6824.3325869404
2002,-1510.1627674951,-473.31069642452,-714.92109989671,-1944.231920414,-582.44617613825,-1608.0441364245,-10.64442009705,-1623.1401009696,580.00059311097,1302.7899374346,-424.92227281253,-6584.1107873143
2003,-1448.5686471525,-474.0767465762,-719.41067136178,-1923.7206585801,-550.17584154477,-1499.3176546722,-10.046538194842,-1660.6783541226,607.76735645708,1311.3214729494,-396.19287551659,-6366.9062827986
2004,-1422.3357775565,-475.06864468014,-728.55974096526,-1912.5392475492,-528.36039759913,-1429.761089026,-10.076718012325,-1584.9835000173,612.28344952676,1304.5319001039,-378.84159767247,-6174.8697657752
