,Africa,Asia-Pacific Developed,Eastern Asia,Eurasia,Europe,Latin America and Caribbean,Middle East,North America,South-East Asia and developing Pacific,Southern Asia,EU27,GLOBAL TOTAL
1990,-477.1882222532,66.33121336844,-667.19652098125,-1198.4601018387,-454.72326708389,-543.49885671557,72.150864858099,-1587.9752200307,2159.3453392556,1247.8110569111,-341.05463826118,-1383.40371451
1991,-302.33585612663,88.760923441274,-678.41375322444,-1126.2366588304,-598.0028516764,-600.17394923317,76.29308137834,-1614.5353547285,2119.2616028744,1292.7302200875,-465.67237287082,-1342.652596038
1992,-184.03936753656,99.002379600951,-626.60554785791,-1181.2476843277,-595.36543298998,-499.55192464236,72.260400837066,-1705.3878767426,2125.6787807288,1303.4693718131,-464.23093194111,-1191.7869011171
1993,69.845669553442,433.14897282347,-683.52929811893,-1478.2958797115,-621.49997740999,-330.28802970667,73.170883467716,-1674.4980230798,2041.3981123184,1315.8950556915,-493.89997516707,-854.65251417231
1994,19.260829313382,33.015017673831,-733.03051854851,-1290.490001189,-564.21009920616,-332.88716153536,76.384279395656,-1505.8737452526,1959.7047223905,1332.8550681539,-433.36246308526,-1005.2716088044
1995,128.73469843235,9.6065739651834,-732.55864311729,-1304.9696814949,-537.24819757156,732.168431702,76.635661580441,-1476.5342045677,1920.7585023716,1328.8861555287,-415.51545204753,145.47929682885
1996,234.74493498901,-140.81056909827,-777.34471910056,-1420.409151227,-547.38970835143,129.76690784644,79.084396528855,-1717.1653482093,1909.8619904747,1291.7248521293,-421.22513358844,-957.93641401828
1997,-58.238794061771,-254.38543515662,-843.69608148515,-1557.8959263172,-538.21148594041,-193.98963979402,73.467505827051,-1741.8047026411,1854.6211795949,1267.502602517,-417.1785829293,-1992.6307774573
1998,291.26910426105,-3.8624235432366,-729.1775689038,-1784.2271379182,-489.60666997932,164.58338708194,79.144553609605,-1450.6047889755,1928.3736167939,1266.235904977,-383.30028238008,-727.8720225966
1999,293.55432646296,96.887062131245,-768.78951350705,-1494.3502911249,-585.5715007988,249.91873463933,76.21262411783,-1658.6580462691,1903.139306333,1278.4380309583,-466.66475637174,-609.21926705722
2000,635.66439239158,362.3542725429,-725.5338023331,-1369.1748538988,-413.7914770318,370.92793325659,75.187733373194,-1645.0260932522,1969.6022297346,1269.0584244415,-327.6318532162,529.26875922447
2001,506.2530262196,481.69921119568,-851.59883886623,-1762.6831366239,-470.79566188499,189.97509694924,75.886110623499,-1800.3414490222,1317.3303387397,1268.5157218263,-374.48552508742,-1045.7595808433
2002,458.01702906694,819.07559311343,-911.90915176536,-1731.7817904362,-492.62340642161,425.01887919036,71.832710182228,-1763.1621329426,1657.2003489196,1340.5617071094,-387.06105916207,-127.7702139838
2003,484.82590967654,-74.729445140087,-894.54001906591,-1476.9708705822,-472.27623567057,1616.067088251,72.060552452632,-1802.5879409518,1372.3034823591,1357.8980498204,-359.76719402685,182.05057114907
2004,503.23607182673,244.84853034092,-915.19163479973,-1683.7015600337,-476.30443669052,1868.6889861877,72.252438420495,-1688.1348458537,1862.4682526401,1353.6748970839,-373.01651322231,1141.8366991222
2005,676.94486603724,-208.4983979782,-932.15506064369,-1695.2687102195,-414.25186768138,898.65100577959,72.459805669527,-1741.1416968448,1766.0699737244,1357.5602570926,-311.31266746408,-219.62982506424
2006,692.25963625826,393.05012537387,-949.47860152623,-1649.3460241919,-468.31822522773,524.57400705468,72.383291028624,-1854.9395189723,2544.4166513588,1362.921536397,-367.97721617928,667.52287755314
2007,786.04382946592,311.79893354548,-927.95285014088,-1727.0340367873,-391.69851485269,370.20257304815,72.85616431349,-1877.615217632,1583.626647836,1382.4963781311,-289.13077096469,-417.27609307279
2008,891.20371169167,-115.39432343401,-869.81100328924,-1595.842711103,-422.43685709843,169.33228010759,72.378928636991,-2147.0460309861,1436.0027569069,1385.7319954102,-334.83886135846,-1195.8812531574
2009,866.91160928391,-67.086381459288,-847.16054522879,-1842.4487350062,-500.13140596488,-449.14230284299,72.484453092352,-2277.4931041421,1861.1992967023,1415.1203685992,-399.67044487314,-1767.7467469664
2010,1010.4097925544,-233.40113706591,-835.59514503704,-1771.1775664495,-417.23357587064,-341.29593338323,74.024860769747,-2135.8132247805,1343.9715725084,1415.2958838089,-319.54565293391,-1890.8144729454
2011,1717.0189769091,997.16991753121,-856.56985526965,-1761.5418916769,-391.85296479219,-244.94402263863,73.364624049328,-2075.3146360965,1503.2343386417,1398.0094823074,-316.73470845495,358.57396896495
2012,1660.4953376451,884.55647575598,-881.90549063034,-1623.9218660183,-387.59474197682,-256.99360696919,72.97099343109,-2087.6617189481,1866.6668001194,1395.7072768243,-312.44875069617,642.31945923309
2013,1583.2841385066,-100.88068408443,-881.86227920452,-1780.0264099918,-364.31915424363,-113.94868818724,73.341872531814,-1977.8782066466,1798.9628032706,1380.0908663995,-295.65155812299,-383.23574164961
2014,1513.870489149,138.3035969947,-944.95722500938,-1661.7197129291,-362.810380881,-314.1573105071,74.07624684173,-2030.2962197868,2272.6993846285,1383.9429914029,-308.27944020295,68.951859903475
2015,1252.4634310446,105.52545212862,-1024.4403809227,-1778.1367322983,-363.41064762219,-253.04445010757,73.308252095368,-1893.5142020144,2922.4824390589,1368.8271703847,-308.75560359805,410.06033174704
2016,1298.0431180682,-214.74119403219,-994.52646019124,-1687.1749625002,-356.16846077909,-308.28468589611,73.582756766958,-2112.8184295629,1741.0789930783,1378.0694100782,-296.39382329049,-1182.9399149701
2017,1343.7754694152,332.06673733164,-1041.9178350933,-1792.1975420372,-338.9304920489,-291.68919028208,73.362176267006,-2054.471934289,1640.4178852166,1369.8993616704,-272.58193350667,-759.68536384971
2018,1387.4844857919,234.54888843483,-989.72008357374,-1536.8416662427,-288.68242482866,-301.25623554019,72.982199590808,-1969.5900818648,1992.6923870175,1356.706085814,-244.51938512744,-41.676445400997
2019,1361.3872395896,162.39798499662,-1052.0347739333,-1623.6423925561,-290.3391429456,-332.48073150075,95.426458431851,-1985.4619406309,2322.8022502398,1341.9445236101,-245.6789827172,-0.00052469862188786
2020,1441.3898934272,-169.91539031462,-1014.6333289512,-1683.619912251,-334.05626408297,-211.95083042315,76.690012026069,-2110.5707087988,2225.2396431073,1325.3103112947,-264.06953314306,-456.11657496641
2021,1600.9752677121,-194.63476356164,-1025.9140025737,-1583.0831583637,-293.42739098722,-269.07117566266,73.585621487468,-1709.4529111242,2228.9515681885,1341.5438434538,-221.72757786823,169.47289856873
2022,1577.0344614938,-135.9763537915,-1031.4463245934,-1757.9574919081,-294.91338362791,-231.69414991821,72.887625322317,-1830.3517122736,2188.6677351341,1313.3427197879,-222.37742732078,-130.40687437462
2023,1602.7971651316,764.1496607758,-1033.380754611,-1693.7319981372,-289.91665457269,-216.23828861091,76.062331854693,-1281.5817293557,2306.5691237847,1303.0769702727,-214.38467883285,1537.8058265319
