,LLM,LLM_evidence,types,types_evidence,description,description_evidence
recall,0.44,0.49,0.35,0.38,0.44,0.47
precision,0.43,0.49,0.35,0.41,0.44,0.47
jaccard,0.31,0.35,0.24,0.26,0.30,0.33
recall_corrected,0.57,0.61,0.44,0.52,0.57,0.63
precision_corrected,0.51,0.58,0.43,0.48,0.55,0.58
jaccard_corrected,0.40,0.45, 0.32,0.36,0.42,0.45
result_recall,0.05,0.10,0.07,0.05,0.06,0.07
result_precision,0.06,0.13,0.08,0.05,0.07,0.07
result_recall_corrected,0.10,0.21,0.09,0.09,0.13,0.24
result_precision_corrected,0.11,0.23,0.11,0.08,0.16,0.25
